"","de 25,400% (RGPHAE, 2013) à 28,2% (RGPH-5, 2023).","","",""
"Tableau I-2 : Répartition de la population résidente ayant déclaré l’âge par forme d’enregistrement selon le","","","",""
"sexe du déclarant","","","",""
"","","Sexe (%)","",""
"Forme de déclaration de l’âge","","","","Ensemble"
"","Homme","","Femme",""
"Mois et année de naissance  connus","21,6","","22,6","44,1"
"Année de naissance  seulement","","","",""
"","14,6","","13,1","27,6"
"connue","","","",""
"Nombre d'années connu","14,5","","13,7","28,2"
"Total","50,7","","49,3","100,0"
"Source : ANSD. RGPH-5, 2023","","","",""
