"Groupes 
d'âge","Urbain","","","Rural","","","National","",""
"","Homme","","Femme  Ensemble","Homme","","Femme  Ensemble","Homme","","Femme  Ensemble"
"0-4","85,8","85,8","85,8","67,0","66,2","66,6","76,1","75,8","76,0"
"5-9","84,5","84,4","84,4","66,6","65,4","66,0","74,7","74,2","74,5"
"10-14","86,7","87,1","86,9","71,5","70,8","71,1","78,7","78,9","78,8"
"15-19","90,4","90,3","90,4","77,7","75,4","76,6","84,5","83,7","84,1"
"20-24","91,3","90,0","90,6","79,4","74,6","76,9","86,2","83,6","84,9"
"25-29","91,2","89,0","90,0","79,6","73,9","76,6","86,5","82,8","84,6"
"30-34","90,4","87,4","88,9","79,2","72,8","75,9","86,1","81,7","83,8"
"35-39","90,2","87,4","88,8","79,9","74,7","77,2","86,3","82,4","84,3"
"40-44","90,2","87,3","88,8","80,2","74,3","77,3","86,4","82,4","84,4"
"45-49","91,0","87,8","89,4","82,0","76,7","79,3","87,5","83,4","85,5"
"50-54","90,2","86,6","88,3","81,3","75,8","78,4","86,6","82,0","84,2"
"55-59","91,1","87,5","89,2","82,6","77,0","79,7","87,7","83,3","85,4"
"60-64","89,1","85,0","87,0","80,5","73,8","77,0","85,5","80,3","82,8"
"65-69","90,2","85,7","87,9","81,5","74,3","78,0","86,7","81,3","84,0"
"70-74","87,2","81,6","84,3","77,6","70,3","73,8","83,0","76,7","79,8"
"75-79","86,7","81,2","83,7","77,2","70,4","73,8","82,4","76,7","79,5"
"80-84","83,4","76,9","79,8","74,0","66,6","70,0","78,7","72,1","75,1"
"85-89","82,0","77,6","79,5","73,5","65,8","69,6","77,9","72,5","75,0"
"90-95","80,0","73,9","76,3","69,6","63,8","66,4","74,5","69,1","71,4"
"95+","75,1","66,7","69,9","67,6","58,8","62,6","71,0","62,9","66,2"
"Total","88,8","87,3","88,0","74,4","71,4","72,9","82,2","80,2","81,2"
