"","d’âge 20-39 ans, 50-64 ans et 70 ans et plus, où il y a plus de femmes que d’hommes.","","","",""
"Tableau  I-8 : Répartition  de  la  population  résidente  par  groupe d’âges  quinquennaux  selon  le  sexe  et le","","","","",""
"rapport de masculinité","","","","",""
"Groupe","","","Ensemble","","Rapport de"
"","Masculin","Féminin","","",""
"d'âges","","","","","masculinité"
"","","","Effectif","Proportion (%)",""
"0-4","1 162 066","1 081 671","2 243 737","12,4","107,4"
"5-9","1 285 164","1 156 207","2 441 371","13,5","111,2"
"10-14","1 278 085","1 127 934","2 406 019","13,3","113,3"
"15-19","1 094 123","1 042 380","2 136 503","11,8","105,0"
"20-24","858 540","897 640","1 756 180","9,7","95,6"
"25-29","666 553","710 915","1 377 467","7,6","93,8"
"30-34","593 132","623 995","1 217 127","6,7","95,1"
"35-39","512 007","533 288","1 045 295","5,8","96,0"
"40-44","424 350","401 955","826 306","4,6","105,6"
