"Groupe","","","Ensemble","","Rapport de"
"","Masculin","Féminin","","",""
"d'âges","","","","","masculinité"
"","","","Effectif","Proportion (%)",""
"45-49","320 352","318 087","638 438","3,5","100,7"
"50-54","272 679","289 042","561 721","3,1","94,3"
"55-59","189 823","205 880","395 702","2,2","92,2"
"60-64","188 467","201 560","390 027","2,2","93,5"
"65-69","129 649","129 290","258 939","1,4","100,3"
"70-74","100 416","107 589","208 005","1,1","93,3"
"75-79","47 457","51 213","98 670","0,5","92,7"
"80-84","31 457","38 299","69 757","0,4","82,1"
"85-89","13 381","15 589","28 969","0,2","85,8"
"90-94","6 682","9 123","15 805","0,1","73,2"
"95+","4 512","5 838","10 350","0,1","77,3"
"Total","9 178 895","8 947 496","18 126 390","100,0","102,6"
"Source: ANSD. RGPH-5, 2023","","","","",""
