"Tableau I-9 : Structure de la population résidente par sexe, par milieu de résidence et par région selon des","","","","","",""
"groupes d’âges fonctionnels","","","","","",""
"","","","Groupes d'âges fonctionnels (Effectifs)","","",""
"Caractéristiques descriptives","","","","","","Total"
"","","0-4","5-14","15-64 ans","65 et plus",""
"","Masculin","1 162 066","2 563 249","5 120 025","333 554","9 178 894"
"Sexe","","","","","",""
"","Féminin","1 081 671","2 284 141","5 224 742","356 941","8 947 495"
"","Urbain","1 094 708","2 344 549","6 087 964","395 179","9 922 400"
"Milieu de résidence","","","","","",""
"","Rural","1 149 029","2 502 841","4 256 804","295 317","8 203 991"
"","Dakar","408 148","788 295","2 641 928","166 056","4 004 427"
"","Ziguinchor","70 425","157 380","360 263","29 500","617 568"
"","Diourbel","268 063","606 113","1 123 956","82 203","2 080 335"
"","Saint-Louis","143 563","325 651","683 682","49 546","1 202 442"
"","Tambacounda","141 592","298 948","518 077","28 534","987 151"
"","Kaolack","183 081","398 765","710 101","44 772","1 336 719"
"","Thiès","291 421","633 954","1 435 141","103 162","2 463 678"
"Région","","","","","",""
"","Louga","137 107","321 740","619 196","47 865","1 125 908"
"","Fatick","124 491","271 527","475 255","35 645","906 918"
"","Kolda","130 452","281 016","478 350","24 980","914 798"
"","Matam","113 939","250 535","437 509","29 646","831 629"
"","Kaffrine","114 433","257 581","423 703","24 688","820 405"
"","Kédougou","35 823","66 892","136 171","6 260","245 146"
"","Sédhiou","81 199","188 994","301 435","17 638","589 266"
"","Sénégal","2 243 737","4 847 390","10 344 767","690 496","18 126 390"
