"Caractéristiques descriptives","","Groupes d'âges fonctionnels %","","","","Total"
"","","0-4","5-14","15-64 ans","65 et plus",""
"Sexe","Masculin","12,7","27,9","55,8","3,6","100,0"
"","Féminin","12,1","25,5","58,4","4,0","100,0"
"Milieu de résidence","Urbain","11,0","23,6","61,4","4,0","100,0"
"","Rural","14,0","30,5","51,9","3,6","100,0"
"Région","Dakar","10,2","19,7","66,0","4,1","100,0"
"","Ziguinchor","11,4","25,5","58,3","4,8","100,0"
"","Diourbel","12,9","29,1","54,0","4,0","100,0"
"","Saint-Louis","11,9","27,1","56,9","4,1","100,0"
"","Tambacounda","14,3","30,3","52,5","2,9","100,0"
"","Kaolack","13,7","29,8","53,1","3,3","100,0"
"","Thiès","11,8","25,7","58,3","4,2","100,0"
"","Louga","12,2","28,6","55,0","4,3","100,0"
"","Fatick","13,7","29,9","52,4","3,9","100,0"
"","Kolda","14,3","30,7","52,3","2,7","100,0"
"","Matam","13,7","30,1","52,6","3,6","100,0"
"","Kaffrine","13,9","31,4","51,6","3,0","100,0"
"","Kédougou","14,6","27,3","55,5","2,6","100,0"
"","Sédhiou","13,8","32,1","51,2","3,0","100,0"
"Sénégal","","12,4","26,7","57,1","3,8","100,0"
