"Groupes 
d’âges 
spécifiques","Milieu de résidence","","","","","","","",""
"","Urbain 
Rural 
Total","","","","","","","",""
"","Sexe","","","","","","","",""
"","Masculin","","Féminin  Ensemble  Masculin  Féminin  Ensemble  Masculin  Féminin  Ensemble","","","","","",""
"Moins d'un an","0,7","0,6","1,3","0,6","0,6","1,2","1,3","1,2","2,5"
"0 - 1 ans","1,2","1,1","2,2","1,2","1,1","2,3","2,4","2,2","4,6"
"0 - 4 ans","3,3","3,0","6,3","3,1","2,9","6,0","6,4","6,0","12,4"
"15 - 49 ans","10,2","10,3","20,4","14,5","14,7","29,2","24,7","25,0","49,6"
"","","","","","","","","",""
"3 - 5 ans","2,2","2,1","4,3","2,0","1,9","3,8","4,2","3,9","8,2"
"6 - 11 ans","4,4","4,0","8,4","4,1","3,6","7,6","8,5","7,5","16,0"
"12 - 15 ans","2,8","2,5","5,3","2,9","2,6","5,5","5,7","5,1","10,7"
"6 - 16 ans","7,8","6,9","14,7","7,6","6,8","14,4","15,4","13,7","29,1"
"16 – 18 ans","1,7","1,5","3,2","1,9","1,9","3,9","3,6","3,5","7,1"
"","","","","","","","","",""
"0 - 14","10,6","9,6","20,1","10,0","9,0","19,0","20,6","18,6","39,1"
"0 - 17 ans","12,4","11,1","23,5","12,0","10,9","22,9","24,3","22,1","46,4"
"10 - 19 ans","6,3","5,7","12,0","6,8","6,3","13,1","13,1","12,0","25,1"
"15 - 24 ans","4,8","4,6","9,4","6,0","6,1","12,1","10,8","10,7","21,5"
"15 - 34 ans","7,5","7,6","15,1","10,2","10,5","20,7","17,7","18,1","35,8"
"18 ans et plus","10,6","11,1","21,7","15,7","16,2","31,8","26,3","27,3","53,6"
"","","","","","","","","",""
"60 ans et plus","1,2","1,3","2,5","1,6","1,8","3,4","2,9","3,1","6,0"
"65 ans et plus","0,8","0,8","1,6","1,0","1,1","2,2","1,8","2,0","3,8"
