"","L’âge médian  est de 19,0 ans (18,3 ans chez les hommes contre 19,7 ans chez les femmes).","","","","","","","",""
"","Il est plus élevé en milieu urbain (21,0 ans) qu’en zone rurale (16,6 ans).","","","","","","","",""
"Tableau 1.6: Age moyen et âge médian de la population selon le sexe et le milieu de résidence","","","","","","","","",""
"Indicateurs","","Masculin","","","Féminin","","","Ensemble",""
"de","","","","","","","","",""
"tendance","Urbain","Rural  Total","","Urbain","Rural  Total","","Urbain","","Rural  Total"
"centrale","","","","","","","","",""
"Moyenne","24,6","21,4","23,2","25,5","22,5","24,1","25,0","21,9","23,6"
"Médiane","20,4","15,9","18,3","21,7","17,4","19,7","21,0","16,6","19,0"
"Source : ANSD. RGPH-5, 2023","","","","","","","","",""
