"Région","Effectif de la population","","","Poids 
démographique","Rapport de 
masculinité"
"","Homme","Femme","Ensemble","",""
"Dakar","2 018 761","1 985 666","4 004 426","22,1","101,7"
"Ziguinchor","318 982","298 585","617 567","3,4","106,8"
"Diourbel","1 029 753","1 050 580","2 080 333","11,5","98,0"
"Saint-Louis","610 883","591 558","1 202 441","6,6","103,3"
"Tambacounda","504 081","483 071","987 152","5,4","104,3"
"Kaolack","674 912","661 809","1 336 720","7,4","102,0"
"Thiès","1 256 977","1 206 700","2 463 677","13,6","104,2"
"Louga","563 944","561 964","1 125 908","6,2","100,4"
"Fatick","453 863","453 055","906 918","5,0","100,2"
"Kolda","467 909","446 889","914 798","5,0","104,7"
"Matam","428 108","403 522","831 630","4,6","106,1"
"Kaffrine","415 885","404 521","820 405","4,5","102,8"
"Kédougou","132 256","112 891","245 147","1,4","117,2"
"Sédhiou","302 582","286 684","589 266","3,3","105,5"
"Sénégal","9 178 895","8 947 496","18 126 390","100,0","102,6"
