"","concentrées dans les régions de l’Ouest et du Centre du pays. A l’opposé, les régions situées","","","",""
"","au Nord et à l’Est du territoire sont faiblement peuplés.","","","",""
"Tableau I-15 : Répartition par région de la densité de la population du Sénégal en 2023","","","","",""
"Région","Population totale","Poids (%)","Superficie Km²","Superficie Km2 (%)","Densité au Km²"
"Dakar","4 004 426","22,1","535","0,3","7 478"
"Ziguinchor","617 567","3,4","7 329","3,7","84"
"Diourbel","2 080 333","11,5","4 860","2,5","428"
"Saint-Louis","1 202 441","6,6","19 010","9,7","63"
"Tambacounda","987 152","5,4","42 613","21,7","23"
"Kaolack","1 336 720","7,4","5 310","2,7","252"
"Thiès","2 463 677","13,6","6 586","3,3","374"
"Louga","1 125 908","6,2","25 619","13,0","44"
"Fatick","906 918","5,0","7 010","3,6","129"
"Kolda","914 798","5,0","13 752","7,0","67"
"Matam","831 630","4,6","28 830","14,7","29"
"Kaffrine","820 405","4,5","11 057","5,6","74"
"Kédougou","245 147","1,4","16 904","8,6","15"
"Sédhiou","589 266","3,3","7 353","3,7","80"
"Sénégal","18 126 390","100,0","196 768","100,0","92"
"Source : ANSD. RGPH-5, 2023","","","","",""
