"","sont les plus faibles, soit 39,7% contre 60,3% pour la population urbaine féminine.","","","","",""
"Tableau I-17 : Répartition de la population urbaine par groupe d’âges quinquennaux selon le sexe","","","","","",""
"","","Sexe","","","Sexe",""
"Groupe","","","","","",""
"","Masculin","Féminin","Total","","",""
"d'âges","","","","Masculin (%)","","Féminin (%)"
"","(effectif)","(effectif)","(Effectif)","","",""
"0-4","564 833","529 875","1 094 708","51,6","","48,4"
"5-9","602 460","537 825","1 140 285","52,8","","47,2"
"10-14","638 449","565 815","1 204 264","53,0","","47,0"
"15-19","589 835","577 263","1 167 098","50,5","","49,5"
"20-24","497 836","524 293","1 022 129","48,7","","51,3"
"25-29","399 410","421 470","820 880","48,7","","51,3"
"30-34","363 184","378 235","741 419","49,0","","51,0"
"35-39","318 823","323 701","642 524","49,6","","50,4"
"40-44","262 747","248 225","510 973","51,4","","48,6"
"45-49","196 457","192 342","388 799","50,5","","49,5"
"50-54","163 359","167 034","330 393","49,4","","50,6"
"55-59","113 619","124 529","238 148","47,7","","52,3"
"60-64","109 123","116 478","225 601","48,4","","51,6"
"65-69","76 719","79 483","156 202","49,1","","50,9"
"70-74","56 806","60 946","117 752","48,2","","51,8"
"75-79","26 060","29 940","56 000","46,5","","53,5"
"80-84","15 906","20 439","36 345","43,8","","56,2"
"85-89","6 856","8 898","15 753","43,5","","56,5"
"90-95","3 144","4 780","7 924","39,7","","60,3"
"95+","2 191","3 012","5 203","42,1","","57,9"
"Total","5 007 818","4 914 581","9 922 399","50,5","","49,5"
"Source: ANSD. RGPH-5, 2023","","","","","",""
