"Région","Taille des communes","","","","","","","","",""
"","Moins de 10 000","","10 000 à 50 000","","50 000 à 100 000","","Plus de 100 000","","Total",""
"","Effectif","%","Effectif","%","Effectif","%","Effectif","%","Effectif","%"
"01 Dakar","2","2,9","21","19,4","14","66,7","16","55,2","53","23,2"
"02 Ziguinchor","4","5,7","4","3,7","0","0,0","1","3,4","9","3,9"
"03 Diourbel","1","1,4","1",",9","0","0,0","3","10,3","5","2,2"
"04 Saint-Louis","12","17,1","9","8,3","1","4,8","1","3,4","23","10,1"
"05 Tambacounda","5","7,1","6","5,6","0","0,0","1","3,4","12","5,3"
"06 Kaolack","5","7,1","10","9,3","0","0,0","1","3,4","16","7,0"
"07 Thies","5","7,1","19","17,6","3","14,3","4","13,8","31","13,6"
"08 Louga","5","7,1","7","6,5","0","0,0","1","3,4","13","5,7"
"09 Fatick","7","10,0","8","7,4","0","0,0","0","0,0","15","6,6"
"10 Kolda","6","8,6","4","3,7","1","4,8","1","3,4","12","5,3"
"11 Matam","7","10,0","11","10,2","0","0,0","0","0,0","18","7,9"
"12 Kaffrine","0","0,0","4","3,7","1","4,8","0","0,0","5","2,2"
"13 Kedougou","3","4,3","0","0,0","1","4,8","0","0,0","4","1,8"
"14 Sedhiou","8","11,4","4","3,7","0","0,0","0","0,0","12","5,3"
"Total","70","100,0","108","100,0","21","100,0","29","100,0","228","100,0"
