"Nationalité","Sexe","","","","",""
"","Masculin","","Féminin","","Total",""
"","Effectif","%","Effectif","%","Effectif","%"
"Bénin","1 284","1,1","1 201","1,3","2 485","1,2"
"Burkina Faso","3 796","3,3","1 798","2,0","5 593","2,7"
"Cap-Vert","367","0,3","501","0,5","869","0,4"
"Côte d'Ivoire","1 944","1,7","1 976","2,1","3 920","1,9"
"Gambie","2 621","2,3","3 663","4,0","6 284","3,0"
"Ghana","793","0,7","421","0,5","1 214","0,6"
"Guinée","45 842","39,6","37 988","41,3","83 830","40,3"
"Guinée-Bissau","4 991","4,3","4 239","4,6","9 231","4,4"
"Libéria","52","-","83","0,1","134","0,1"
"Mali","19 320","16,7","11 740","12,8","31 059","14,9"
"Mauritanie","2 795","2,4","1 670","1,8","4 465","2,1"
"Niger","2 738","2,4","993","1,1","3 731","1,8"
"Nigeria","1 829","1,6","996","1,1","2 824","1,4"
"Sierra Leone","423","0,4","326","0,4","748","0,4"
"Togo","1 572","1,4","1 418","1,5","2 990","1,4"
"Autre Afrique","11 657","10,1","10 721","11,6","22 378","10,8"
"Amériques","1 049","0,9","987","1,1","2 036","1,0"
"Asie","2 684","2,3","2 166","2,4","4 850","2,3"
"Europe","4 588","4,0","3 789","4,1","8 377","4,0"
"Australie","72","0,1","54","0,1","126","0,1"
"Nationalité non déclarée","5 286","4,6","5 296","5,8","10 582","5,1"
"Autres","31","-","32","-","64","-"
"Total","115 734","100,0","92 057","100,0","207 791","100,0"
