"Groupes d’âge","Déclaration à l'Etat Civil","","","",""
"","Bulletin de 
naissance","Jugement 
supplétif","Aucun","NSP","Total"
"Moins de 1 an","76,8","-","8,6","14,6","100,0"
"1-4","69,2","6,6","9,0","15,2","100,0"
"5-9","65,2","9,2","8,8","16,8","100,0"
"10-14","66,6","12,2","6,7","14,5","100,0"
"15-19","69,4","14,7","4,9","11,1","100,0"
"20-24","68,8","16,1","3,9","11,2","100,0"
"25-29","67,3","17,3","3,4","11,9","100,0"
"30-34","66,6","17,2","3,3","12,9","100,0"
"35-39","66,3","18,0","2,9","12,8","100,0"
"40-44","66,1","18,3","2,7","12,8","100,0"
"45-49","65,6","19,9","2,4","12,1","100,0"
"50-54","62,9","21,3","2,6","13,1","100,0"
"55-59","63,6","21,8","2,4","12,1","100,0"
"60-64","60,7","22,0","2,9","14,3","100,0"
"65-69","61,2","22,8","2,6","13,4","100,0"
"70-74","57,2","22,6","3,5","16,7","100,0"
"75-79","56,2","23,3","3,5","17,1","100,0"
"80-84","52,2","22,9","4,5","20,4","100,0"
"85-89","53,2","21,8","4,2","20,8","100,0"
"90-94","50,4","20,9","5,1","23,5","100,0"
"95 ans et plus","48,6","17,5","6,3","27,6","100,0"
"TOTAL","66,8","14,4","5,3","13,6","100,0"
