"","Principaux indicateurs","",""
"Intitulé de l'indicateur","","Niveau de l'indicateur",""
"État et Structure de la population","Urbain","Rural","National"
"Population totale","9922400","8203991","18126390"
"","5 007 818","4 171 076",""
"Population masculine","","","9178894"
"Population féminine","4 914 581","4 032 915","8947496"
"Rapport de masculinité (Nombre d’hommes pour 100 femmes)","","",""
"","1,02","1,03","1,03"
"Densité de la population","","","92"
"Rapport de dépendance démographique (%)","63,0","92,7","75,2"
"Proportion de femmes dans la population (%)","","",""
"","49,5%","49,2%","49,4%"
"Population de moins d’un an (0 an)","231 604","215 746","447 350"
"Population de moins de 5 ans (0 - 4 ans)","1 094 708","1 149 029","2 243 737"
"Population de 3 - 5 ans","781 612","696 770","1 478 382"
"Population de 6 - 11 ans","1 523 504","1 381 354","2 904 858"
"Population de 12 - 15 ans","953 548","993 662","1 947 210"
"Population de 6 - 16 ans","2 671 795","2 601 603","5 273 398"
"Population de 16 - 18 ans","583 007","698 883","1 281 890"
"Population de moins de 15 ans (0 - 14 ans)","3 651 871","3 439 257","7 091 128"
"Enfants (0 - 17 ans)","4 261 628","4 151 406","8 413 034"
"Population de 15 - 24 ans","1 703 456","2 189 227","3 892 683"
"Population de 15 - 35 ans","2 735 752","3 751 526","6 487 277"
"Population de 15 - 64 ans","395 179","295 317","690 496"
"Population de 60 ans ou plus","620480","549743","1080523"
"Population de 65 ans ou plus","395 179","295 317","690 496"
"Population de 18 ans ou plus","5770993","3942363","9713357"
"Population de 15 - 49 ans","1167098","969405","2136503"
"Population de 10 - 19 ans","2371362","2171160","5542522"
"Population des femmes en âge de procréer (15 - 49 ans)","577263","465117","1042380"
"Âge moyen de la population","25,0","21,9","23,6"
"Âge médian de la population","21,0","16,6","19,0"
"Proportion d'individus possédant un acte d'état civil","88,0","72,9","81,1"
"Source: ANSD. RGPH-5, 2023","","",""
