"N° 
d’ordre","Libellé de la 
variable","Nom de 
variable","(a) 
Cas valides","(b) Cas 
manquants","(c) Taux de 
valeurs 
manquantes 
(%)"
"1.","Ménage agricole","F01","909 638","0","0%"
"2.","Culture pluviale","FA1","909 638","0","0%"
"3.","Culture irriguée (hors 
maraichage)","FA2","909 638","0","0%"
"4.","Culture maraichère","FA3","909 638","0","0%"
"5.","Culture de décrue","FA4","909 638","0","0%"
"6.","Arboriculture fruitière","FA5","909 638","0","0%"
"7.","Sylviculture","FA6","909 638","0","0%"
"8.","Pêche maritime","FA7","909 638","0","0%"
"9.","Pêche continentale","FA7A","909 638","0","0%"
"10.","Aquaculture","FA7B","909 638","0","0%"
"11.","Ffloriculture","FA8","909 638","0","0%"
"12.","Elevage","FA9","909 638","0","0%"
"13.","Nombre total de 
parcelles possédées","G01","909 638","0","0%"
"14.","Nombre total de 
parcelles exploitées","G02","683 624","0","0%"
"15.","Superficie totale des 
parcelles possédées","G03","683 624","0","0%"
"16.","Superficie totale 
exploitée et occupée 
par les cultures 
pluviales","G04a","613 388","0","0%"
"17.","Superficie totale 
exploitée et occupée 
par les cultures 
irriguées, maraichères 
ou de décrue","G04b","173 049","0","0%"
"18.","Superficie totale 
exploitée et occupée 
par les cultures 
arboricoles","G04c","44 517","0","0%"
