"Région","Urbain","","Rural","","Ensemble",""
"","Effectif","%","Effectif","%","Effectif","%"
"Dakar","86 912","29,4","-","-","86 912","9,6"
"Ziguinchor","15 842","5,4","29 560","4,8","45 402","5,0"
"Diourbel","27 873","9,4","47 224","7,7","75 098","8,3"
"Saint-Louis","29 572","10,0","54 598","8,9","84 170","9,3"
"Tambacounda","9 922","3,4","49 146","8,0","59 069","6,5"
"Kaolack","17 784","6,0","58 505","9,5","76 289","8,4"
"Thiès","41 862","14,2","69 005","11,2","110 867","12,2"
"Louga","12 407","4,2","72 557","11,8","84 964","9,3"
"Fatick","9 293","3,1","54 587","8,9","63 880","7,0"
"Kolda","17 759","6,0","46 066","7,5","63 824","7,0"
"Matam","11 680","3,9","38 855","6,3","50 535","5,6"
"Kaffrine","5 643","1,9","52 730","8,6","58 373","6,4"
"Kédougou","3 767","1,3","12 104","2,0","15 871","1,7"
"Sedhiou","5 415","1,8","28 970","4,7","34 385","3,8"
"Sénégal","295 731","100,0","613 907","100,0","909 638","100,0"
