"Niveau 
d’instruction","Urbain","","","Rural","","","Ensemble","",""
"","Masculin","Féminin","","Ensemble  Masculin","Féminin","","Ensemble  Masculin","Féminin","Ensemble"
"Sans niveau","53,1","64,4","55,9","79,6","83,2","80,0","71,9","73,6","72,2"
"Préscolaire","0,7","0,4","0,6","1,6","0,8","1,5","1,3","0,6","1,2"
"Primaire","18,2","19,6","18,5","10,4","10,7","10,4","12,7","15,3","13,1"
"Moyen","10,1","8,4","9,7","4,2","3,4","4,1","5,9","6,0","5,9"
"Secondaire","9,2","4,7","8,1","2,7","1,2","2,6","4,6","3,0","4,4"
"Supérieur","8,7","2,4","7,1","1,5",",5","1,4","3,6","1,5","3,3"
"Total (%)","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Effectif total","221 403","74 328","295 731","542 550","71 357","613 907","763 952","145 685","909 638"
