"R
Taille du ménage 
51 et 
égion 
01-10 
% 
11-20 
% 
21-30 
% 
31-40 
% 
41-50  % 
% 
plus","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Région","","","","","","","","","","","",""
"Dakar","52962","10,4","26909","8,6","5809","8,6","1003","7,0","176","5,2","52","3,0"
"Ziguinchor","33921","6,7","10051","3,2","1204","1,8","182","1,3","28",",8","15",",9"
"Diourbel","36042","7,1","29948","9,6","7214","10,7","1499","10,5","296","8,7","98","5,6"
"Saint-Louis","56006","11,0","23756","7,6","3625","5,4","618","4,3","121","3,5","45","2,5"
"Tambacounda","29596","5,8","20611","6,6","5747","8,5","1896","13,3","640","18,8","578","32,9"
"Kaolack","36237","7,1","31257","10,0","7064","10,5","1379","9,6","261","7,6","92","5,2"
"Thiès","59588","11,7","39517","12,6","9289","13,8","1935","13,5","422","12,4","116","6,6"
"Louga","55060","10,8","24884","7,9","4103","6,1","737","5,2","133","3,9","47","2,7"
"Fatick","34927","6,9","23174","7,4","4728","7,0","825","5,8","174","5,1","53","3,0"
"Kolda","33979","6,7","23606","7,5","4810","7,1","995","7,0","273","8,0","162","9,2"
"Matam","25839","5,1","17917","5,7","4758","7,1","1364","9,5","417","12,2","239","13,6"
"Kaffrine","29180","5,7","23792","7,6","4440","6,6","766","5,4","131","3,8","63","3,6"
"Kédougou","10582","2,1","4040","1,3","861","1,3","243","1,7","73","2,1","72","4,1"
"Sédhiou","15466","3,0","13925","4,4","3744","5,6","859","6,0","268","7,8","122","7,0"
"Milieu de résidence","","","","","","","","","","","",""
"Urbain 
174 069 
34,2 
96 038 
30,6 
20 265 
30,1 
4 082 
28,5 
860 
25,2 
416 
23,7","","","","","","","","","","","",""
"Rural 
335 315 
65,8 
217 351 
69,4 
47 132 
69,9 
10 219 
71, 5 
2 553 
74,8 
1 338 
76,3","","","","","","","","","","","",""
"Sénégal 
509 384 
100,0 
313 388 
100,0 
67 397 
100,0 
14 301 
100,0 
3 413 
100,0 
1 754 
100,0","","","","","","","","","","","",""
