"Région","Culture pluviale","","","","","","","","","","Effectif 
total"
"","Dans la 
concession","","Extérieur de la 
concession 
/environnement 
immédiat","","Dans le 
village/quartier","","Dans la 
commune","","Hors de la 
commune","",""
"","Effectif","%","Effectif","%","Effectif","%","Effectif","%","Effectif","%",""
"Dakar","352","5,4","463","7,2","1 931","29,9","630","9,7","3 085","47,8","6 460"
"Ziguinchor","4 717","15,2","6 068","19,5","14 597","46,9","4 536","14,6","1 187","3,8","31 106"
"Diourbel","2 868","5,7","10 327","20,6","17 785","35,5","16 601","33,2","2 481","5,0","50 063"
"Saint-Louis","1 948","6,6","7 014","23,8","9 179","31,1","10 168","34,5","1 161","3,9","29 471"
"Tambacounda","4 962","9,3","15 512","29,0","19 538","36,6","11 843","22,2","1 597","3,0","53 452"
"Kaolack","4 695","7,5","12 093","19,4","22 701","36,5","20 398","32,8","2 301","3,7","62 188"
"Thiès","2 457","3,7","13 018","19,4","29 535","44,1","19 504","29,1","2 452","3,7","66 967"
"Louga","4 380","7,1","18 480","29,8","20 120","32,4","17 511","28,2","1 595","2,6","62 086"
"Fatick","2 999","5,4","11 753","21,0","23 710","42,3","15 264","27,2","2 321","4,1","56 046"
"Kolda","4 658","8,2","17 654","31,1","18 729","33,0","13 667","24,1","2 109","3,7","56 817"
"Matam","4 180","10,8","13 030","33,7","10 165","26,3","10 165","26,3","1 081","2,8","38 621"
"Kaffrine","4 362","8,1","11 171","20,8","18 680","34,8","17 347","32,3","2 162","4,0","53 722"
"Kédougou","2 460","16,7","4 222","28,7","4 798","32,6","2 648","18,0","602","4,1","14 731"
"Sédhiou","3 133","9,9","7 301","23,1","13 413","42,4","7 101","22,4","711","2,2","31 658"
"Total","48 170","7,9","148 106","24,1","224 881","36,7","167 385","27,3","24 846","4,1","613 388"
