"Nombre de parcelles exploitées","Urbain","","Rural","","Ensemble",""
"","Effectif","%","Effectif","%","Effectif","%"
"0","17 333","15,3","24 374","4,3","41 706","6,1"
"1","47 043","41,7","153 150","26,8","200 192","29,3"
"2","22 543","20,0","145 537","25,5","168 080","24,6"
"3","9 743","8,6","95 378","16,7","105 121","15,4"
"4","5 452","4,8","55 219","9,7","60 671","8,9"
"5","3 765","3,3","38 238","6,7","42 004","6,1"
"06-10","4 476","4,0","44 264","7,8","48 740","7,1"
"11-20","1 411","1,2","9 273","1,6","10 684","1,6"
"21-35","517","0,5","2 689","0,5","3 206","0,5"
"36-49","136","0,1","807","0,1","943","0,1"
"50 ou plus","509","0,5","1 768","0,3","2 277","0,3"
"Total","112 928","100,0","570 696","100,0","683 624","100,0"
