"Région","<1 ha","1-5 ha","6-10 ha","11-20 ha","20 ha et 
plus","Effectif","% Total"
"Dakar","38,4","49,5","6,3","4,3","1,5","11 635","100,0"
"Ziguinchor","24,4","66,6","5,8","2,3","0,8","33 403","100,0"
"Diourbel","10,8","68,4","13,3","7,3","0,2","50 443","100,0"
"Saint-Louis","20,8","66,7","6,7","4,4","1,5","47 434","100,0"
"Tambacounda","7,5","69,6","15,7","6,8","0,5","54 078","100,0"
"Kaolack","6,4","70,8","17,0","5,4","0,3","63 474","100,0"
"Thiès","16,4","67,8","11,1","4,2","0,5","76 242","100,0"
"Louga","9,7","67,9","14,4","7,6","0,4","64 709","100,0"
"Fatick","8,4","75,1","12,6","3,6","0,3","56 859","100,0"
"Kolda","7,3","71,2","14,2","6,6","0,7","58 653","100,0"
"Matam","12,1","79,2","5,0","3,1","0,6","42 048","100,0"
"Kaffrine","5,6","60,9","22,6","10,5","0,4","54 126","100,0"
"Kédougou","8,7","81,7","6,7","2,7","0,2","14 135","100,0"
"Sedhiou","8,8","72,4","12,2","5,5","1,2","32 645","100,0"
"Sénégal","11,5","69,4","12,8","5,7","0,6","659 885","100,0"
