"Culture irriguée 
Culture 
Culture de 
 Région  
% 
(hors 
% 
% 
pluviale 
décrue 
maraichage)","","","","","",""
"Région","","","","","",""
"Dakar","6 460","85,1%","2 092","27,6%","-","0,0%"
"Ziguinchor","31 106","97,6%","3 705","11,6%","-","0,0%"
"Diourbel","50 063","98,8%","1 725","3,4%","-","0,0%"
"Saint-Louis","29 471","59,7%","23 390","47,4%","16 509","33,5%"
"Tambacounda","53 452","98,9%","2 140","4,0%","2 452","4,5%"
"Kaolack","62 188","98,8%","3 390","5,4%","-","0,0%"
"Thiès","66 967","97,3%","5 421","7,9%","-","0,0%"
"Louga","62 086","98,8%","2 077","3,3%","-","0,0%"
"Fatick","56 046","99,0%","3 109","5,5%","-","0,0%"
"Kolda","56 817","98,0%","5 668","9,8%","-","0,0%"
"Matam","38 621","87,7%","6 321","14,3%","10 927","24,8%"
"Kaffrine","53 722","99,1%","2 425","4,5%","0","0,0%"
"Kédougou","14 731","99,2%","775","5,2%","0","0,0%"
"Sédhiou","31 658","98,3%","3 551","11,0%","0","0,0%"
"Milieu de résidence","","","","","",""
"85 750 
89,4% 
15 351 
16,0% 
6 638 
6,9% 
Urbain","","","","","",""
"527 638 
95,6% 
50 437 
9,1% 
23 250 
4,2% 
Rural","","","","","",""
"Sénégal 
613 388 
94,7% 
65 788 
10,2% 
29 888 
4,6%","","","","","",""
