"Motorisé3 
Attelé4 
Zone de résidence 
Total ménages 
Effectif 
% 
Effectif 
%","","","","",""
"Région","","","","",""
"Dakar","5645","39,7","8843","56,3","14 488"
"Ziguinchor","2454","6,6","6678","17,9","9 132"
"Diourbel","7072","13,5","46526","84,6","53 598"
"Saint-Louis","8473","15,4","39251","64,1","47 724"
"Tambacounda","6864","12,5","45966","82,1","52 830"
"Kaolack","7120","11,1","54477","83,1","61 597"
"Thiès","14666","18,6","60472","74,3","75 138"
"Louga","8992","13,6","63218","86,0","72 209"
"Fatick","5376","9,3","50360","85,0","55 736"
"Kolda","5966","10,0","43492","72,1","49 458"
"Matam","4004","8,9","33058","70,3","37 062"
"Kaffrine","5770","10,5","48879","87,3","54 649"
"Kédougou","1574","10,4","8077","53,3","9 652"
"Sedhiou","2650","7,9","19174","57,1","21 823"
"Milieu de résidence","","","","",""
"21569 
18,5 
72516 
57,9 
94 086 
Urbain","","","","",""
"65057 
11,4 
455954 
77,1 
521 011 
Rural","","","","",""
"86 626 
12,6 
528 470 
73,7 
615 096 
Sénégal","","","","",""
