"Région","Plantes 
ornementales","Oignon","Aubergine 
amère","Aubergine 
douce","chou","Pomme de 
terre","Gombo","Piment","Fraise","Melon","Pastèque","Tomate","Carotte","Navet","Concombre"
"Région","","","","","","","","","","","","","","",""
"Dakar","31,5","33,9","32,9","29,2","33,1","18,0","24,3","36,5","8,2","9,2","11,3","40,6","21,3","25,3","22,2"
"Ziguinchor","12,7","39,9","46,6","28,8","26,3","9,8","51,1","53,5","3,1","3,5","4,8","51,5","17,1","20,5","24,1"
"Diourbel","23,0","30,2","27,3","23,8","22,0","11,1","19,2","30,2","6,8","8,3","10,4","36,0","14,9","23,1","11,9"
"Saint-Louis","11,1","22,5","14,0","12,3","12,7","4,1","17,6","20,7","2,3","5,9","9,9","17,1","6,9","8,6","9,6"
"Tambacounda","13,9","26,3","31,7","23,0","24,7","7,8","36,6","37,7","4,1","5,1","6,5","30,5","13,7","12,6","15,2"
"Kaolack","19,2","29,0","33,2","23,7","21,2","7,6","30,5","40,3","5,2","6,2","9,2","45,2","12,7","23,5","21,3"
"Thiès","17,2","48,6","44,5","36,0","45,6","28,7","21,7","43,8","4,9","5,7","8,2","50,8","29,9","34,1","20,1"
"Louga","13,4","52,6","42,1","33,1","41,4","31,3","17,5","45,8","5,4","9,0","21,8","53,8","34,3","36,9","16,3"
"Fatick","16,4","37,7","30,5","23,1","21,9","10,1","26,8","45,2","3,6","4,3","6,0","45,5","8,0","16,8","12,8"
"Kolda","10,0","18,8","29,3","13,0","11,2","6,6","46,0","39,1","2,8","2,7","3,1","26,7","7,8","5,6","11,9"
"Matam","11,0","13,3","10,7","9,3","11,5","4,5","13,4","12,4","3,0","4,1","6,6","13,9","8,3","9,5","4,7"
"Kaffrine","19,3","15,9","37,9","25,6","14,1","6,3","32,7","50,0","4,9","5,2","7,6","28,9","10,2","15,4","11,1"
"Kédougou","12,6","27,0","30,2","18,9","26,6","7,3","39,4","37,0","4,2","5,0","5,1","26,2","16,6","10,9","12,3"
"Sédhiou","11,6","32,7","32,8","16,9","16,2","7,2","43,2","42,2","3,7","3,7","4,9","34,4","12,8","12,1","14,3"
"Milieu de résidence","","","","","","","","","","","","","","",""
"Urbain 
19,9 
28,1 
28,3 
22,0 
23,0 
11,3 
27,8 
32,6 
4,7 
6,1 
7,9 
32,7 
14,4 
17,1 
16,9","","","","","","","","","","","","","","",""
"Rural 
12,7 
31,5 
31,0 
21,3 
22,4 
11,2 
29,9 
37,9 
3,6 
4,9 
8,0 
35,0 
14,6 
17,2 
14,1","","","","","","","","","","","","","","",""
"Sénégal 
14,4 
30,7 
30,3 
21,5 
22,5 
11,2 
29,4 
36,7 
3,9 
5,2 
7,9 
34,5 
14,6 
17,2 
14,7","","","","","","","","","","","","","","",""
