"Région","Laitue/Salade","Riz Irrigue","Bissap","Haricot vert","Mais","Courge","Poivron","Persil","Arachide","Autres 
espèces de 
cultures 
irriguées, 
maraichères 
ou florales"
"Région","","","","","","","","","",""
"Dakar","33,1%","6,6%","29,1%","12,4%","11,5%","6,3%","27,0%","29,1%","11,2%","11,1%"
"Ziguinchor","51,5%","4,7%","62,2%","8,3%","6,8%","3,6%","42,7%","8,1%","6,4%","3,3%"
"Diourbel","36,3%","6,4%","37,1%","8,8%","13,1%","5,7%","16,5%","9,5%","15,7%","7,1%"
"Saint-Louis","15,9%","41,6%","24,6%","4,2%","12,7%","3,3%","12,1%","5,8%","8,7%","3,6%"
"Tambacounda","49,9%","6,9%","52,1%","10,9%","27,2%","4,3%","19,4%","8,9%","20,6%","5,4%"
"Kaolack","43,5%","3,8%","42,2%","5,1%","13,1%","3,7%","12,8%","6,6%","14,8%","3,7%"
"Thiès","23,2%","2,8%","39,4%","9,6%","8,0%","5,0%","30,2%","17,6%","13,1%","3,8%"
"Louga","23,7%","2,2%","39,7%","5,4%","6,4%","2,4%","25,1%","9,6%","15,5%","4,3%"
"Fatick","37,6%","2,5%","46,1%","4,6%","7,0%","2,3%","17,9%","3,7%","10,2%","2,3%"
"Kolda","18,6%","5,3%","41,2%","4,5%","9,9%","2,3%","11,2%","2,9%","9,4%","2,5%"
"Matam","34,7%","29,2%","40,6%","16,1%","30,4%","3,2%","8,8%","13,1%","10,9%","3,5%"
"Kaffrine","25,8%","3,5%","33,2%","4,4%","14,2%","3,7%","7,1%","4,8%","13,3%","3,2%"
"Kédougou","53,2%","8,9%","33,3%","11,5%","18,0%","6,4%","11,5%","6,3%","15,0%","3,4%"
"Sédhiou","30,8%","7,1%","55,7%","4,4%","11,1%","2,6%","22,2%","3,6%","10,7%","3,4%"
"Milieu de résidence","","","","","","","","","",""
"Urbain 
29,4% 
16,3% 
34,1% 
8,9% 
13,0% 
3,9% 
20,0% 
13,2% 
10,1% 
5,5%","","","","","","","","","",""
"Rural 
29,9% 
13,1% 
42,5% 
6,5% 
12,2% 
3,5% 
19,7% 
7,4% 
11,5% 
3,4%","","","","","","","","","",""
"Sénégal 
29,8% 
13,8% 
40,5% 
7,1% 
12,4% 
3,6% 
19,8% 
8,8% 
11,2% 
3,9%","","","","","","","","","",""
