"Région","Manguiers","Bananiers","Citronnier","Autres 
agrumes","(oranger  
Papayer","Avocatier","Sapotier","Goyavier","Grenadier","Cocotier","Corossolier","Anacardier"
"Région","","","","","","","","","","","",""
"Dakar","62,8","24,9","65,0","34,9","33,1","9,8","20,7","16,9","9,9","16,4","35,3","7,4"
"Ziguinchor","79,2","32,5","77,9","56,5","22,5","5,2","1,7","15,9","2,8","10,0","9,4","44,6"
"Diourbel","67,1","13,0","63,3","23,1","21,5","5,3","9,6","10,2","8,5","7,3","11,9","6,0"
"Saint-Louis","58,7","25,4","77,0","16,8","18,9","3,8","18,0","14,0","8,6","10,1","18,1","1,2"
"Tambacounda","56,2","58,5","24,2","9,2","29,9","2,9","2,2","10,7","3,6","2,2","2,1","3,1"
"Kaolack","84,9","21,9","51,0","19,1","32,0","6,1","6,1","18,2","7,8","5,4","15,0","14,9"
"Thiès","81,9","13,6","68,0","18,5","24,0","4,6","7,6","10,2","6,3","8,4","19,7","5,9"
"Louga","41,0","17,5","91,6","14,9","20,1","2,9","4,8","6,8","3,4","3,4","14,2","4,5"
"Fatick","81,6","12,2","37,4","10,2","17,8","2,8","5,6","13,0","4,1","8,3","10,1","36,2"
"Kolda","71,9","17,1","25,4","14,2","16,5","2,0","1,0","9,5","1,7","2,1","1,8","51,7"
"Matam","53,9","33,7","69,2","14,0","22,6","5,9","5,3","17,8","8,4","5,2","6,1","4,7"
"Kaffrine","85,2","27,5","49,0","15,6","38,6","3,9","3,9","18,2","8,9","3,5","10,4","5,6"
"Kédougou","95,7","19,2","25,8","19,9","33,5","2,2","0,5","17,7","2,1","1,2","1,0","3,6"
"Sédhiou","72,1","14,6","41,2","23,9","14,0","1,4","0,4","6,5","1,1","2,0","1,2","78,6"
"Milieu de résidence","","","","","","","","","","","",""
"Urbain 
68,5 
29,0 
66,7 
33,3 
30,2 
8,3 
12,5 
18,6 
8,6 
14,8 
22,3 
12,5","","","","","","","","","","","",""
"Rural 
75,7 
21,6 
58,6 
29,2 
19,2 
2,8 
2,9 
10,7 
2,9 
4,9 
7,8 
38,5","","","","","","","","","","","",""
"Sénégal 
73,7 
23,6 
60,7 
30,3 
22,2 
4,3 
5,5 
12,8 
4,4 
7,6 
11,7 
31,5","","","","","","","","","","","",""
