"Autres 
Produits 
Produits 
Production 
Mise en 
produits de 
 Région 
reboisement 
forestiers 
forestiers 
de plants 
défens 
sylviculture 
ligneux 
non ligneux 
ou de chasse","","","","","",""
"Région","","","","","",""
"Dakar","50,1","56,1","24,9","13,1","23,9","13,5"
"Ziguinchor","51,3","68,6","36,1","72,1","78,2","13,7"
"Diourbel","33,7","41,1","21,0","43,9","46,9","17,3"
"Saint-Louis","47,6","51,0","12,3","15,6","12,9","13,7"
"Tambacounda","22,1","29,5","12,0","55,4","17,4","6,6"
"Kaolack","53,3","56,5","32,6","39,1","19,6","22,8"
"Thiès","58,9","53,1","28,2","28,9","19,2","12,2"
"Louga","36,0","36,0","17,3","13,4","18,7","14,7"
"Fatick","49,4","55,2","18,0","41,9","44,2","4,7"
"Kolda","56,1","59,6","35,7","26,3","25,1","6,3"
"Matam","54,8","44,4","29,6","37,8","33,3","25,9"
"Kaffrine","53,9","56,4","33,3","30,8","17,9","12,8"
"Kédougou","45,5","63,6","36,4","36,4","18,2","0,0"
"Sedhiou","60,4","57,7","37,8","38,3","55,7","7,5"
"Milieu de résidence","","","","","",""
"54,6 
50,2 
24,8 
22,9 
23,0 
17,5 
Urbain","","","","","",""
"48,4 
56,9 
30,2 
49,8 
50,2 
10,5 
Rural","","","","","",""
"Sénégal 
49,6 
55,6 
29,2 
44,7 
45,1 
11,8","","","","","",""
