"Région","Milieu de résidence","","","","Total",""
"","Urbain","","Rural","","",""
"","Effectif","%","Effectif","%","Effectif","%"
"Dakar","5 138","100,0","0","0,0","5 138","15,7"
"Ziguinchor","897","26,3","2 515","73,7","3 413","10,5"
"Diourbel","139","53,2","122","46,8","262","0,8"
"Saint-Louis","4 397","65,8","2 289","34,2","6 686","20,5"
"Tambacounda","126","17,0","616","83,0","742","2,3"
"Kaolack","116","15,4","634","84,6","750","2,3"
"Thiès","6 644","88,9","833","11,1","7 477","22,9"
"Louga","25","5,1","472","94,9","497","1,5"
"Fatick","698","18,7","3 037","81,3","3 735","11,4"
"Kolda","64","13,0","427","87,0","491","1,5"
"Matam","517","31,5","1 124","68,5","1 641","5,0"
"Kaffrine","32","10,8","269","89,2","301","0,9"
"Kédougou","25","19,1","104","80,9","129","0,4"
"Sedhiou","243","17,6","1 139","82,4","1 381","4,2"
"Sénégal","19 062","58,4","13 581","41,6","32 642","100,0"
