"Région","Poisson","","Crustacées (crevettes, 
langoustes, crabes 
etc.)","","Mollusques, 
coquillages","","Autres fruits de mer",""
"","Effectif","%","Effectif","%","Effectif","%","Effectif","%"
"Dakar","5 096","99,2","1 505","29,3","1 269","24,7","289","5,6"
"Ziguinchor","3 252","95,3","935","27,4","723","21,2","212","6,2"
"Diourbel","243","93,0","76","29,2","71","27,2","35","13,2"
"Saint-Louis","6 630","99,2","1 255","18,8","833","12,5","237","3,5"
"Tambacounda","707","95,2","213","28,7","173","23,3","66","8,8"
"Kaolack","652","86,9","247","32,9","139","18,6","133","17,8"
"Thiès","7 351","98,3","2 511","33,6","2 121","28,4","355","4,7"
"Louga","470","94,5","156","31,3","135","27,2","40","8,1"
"Fatick","3 536","94,7","1 804","48,3","1 419","38,0","236","6,3"
"Kolda","477","97,1","140","28,6","108","22,0","36","7,4"
"Matam","1 604","97,7","317","19,3","236","14,4","88","5,4"
"Kaffrine","288","95,6","93","30,9","66","21,8","18","6,0"
"Kédougou","127","99,2","21","16,6","18","14,2","5","3,9"
"Sedhiou","1 311","94,9","407","29,5","211","15,3","139","10,1"
"Sénégal","31 744","97,2","9 680","29,7","7 524","23,0","1 890","5,8"
