"Région","Bovins","Ovins","","Caprins  Porcins  Equins  Asins  Camelins  Volailles  Lapins","","","","","","Autres 
espèces 
élevées"
"Dakar","6,4","14,7","2,7","4,1","1,0","0,6","6,3","8,9","19,0","19,4"
"Ziguinchor","3,3","1,9","3,5","23,4","0,3","0,6","4,1","6,8","5,7","5,2"
"Diourbel","6,8","8,3","7,8","5,7","10,4","8,9","10,0","10,6","10,5","11,1"
"Saint-Louis","14,7","13,5","13,3","5,6","8,7","10,4","8,3","8,7","8,4","9,1"
"Tambacounda","7,3","5,0","6,3","4,4","7,0","8,3","6,7","4,3","3,5","4,3"
"Kaolack","5,9","6,0","7,9","6,1","10,4","8,8","9,5","8,3","8,2","6,9"
"Thiès","9,2","11,5","8,7","13,1","11,4","9,6","13,9","13,5","16,2","15,6"
"Louga","15,4","15,5","17,3","8,3","18,2","19,9","12,8","12,1","11,0","8,1"
"Fatick","5,6","5,0","7,5","11,3","10,1","8,5","5,5","7,0","4,2","5,4"
"Kolda","7,2","4,4","6,8","4,1","4,1","7,7","6,4","6,4","3,1","4,0"
"Matam","8,6","7,2","7,9","4,9","6,7","7,1","7,4","4,2","3,1","4,0"
"Kaffrine","5,3","4,8","6,7","4,1","10,9","7,7","6,3","5,2","4,8","3,5"
"Kédougou","2,2","1,1","1,6","0,5","0,1","0,4","0,7","1,6","0,5","1,3"
"Sedhiou","2,1","1,2","1,9","4,4","0,8","1,6","2,1","2,3","1,7","2,1"
"Sénégal","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
