"Intitulé de l'indicateur 
Niveau de l'indicateur","","",""
"Agriculture 
Urbain 
Rural 
National","","",""
"Nombre de ménages agricoles","","",""
"Nombre de ménages agricoles au sens large","293 913","615 725","909 638"
"Nombre de ménages pratiquant l’agriculture","95 933","552 119","648 052"
"Nombre de ménages pratiquant l’élevage","250 210","541 950","792 160"
"Nombre de ménages pratiquant la pêche et l’aquaculture","19 062","13 580","32 642"
"Nombre de ménages pratiquant l’horticulture","34 751","110 493","145 244"
"Nombre de ménages pratiquant la sylviculture","560","2398","2 958"
"Taille moyenne des ménages agricoles","","",""
"Taille moyenne des ménages agricoles   
11 
12 
11","","",""
"Typologie des ménages agricoles","","",""
"Proportion de ménages agricoles pratiquant la culture pluviale","29,0","85,9","67,4"
"Proportion de ménages agricoles pratiquant la culture irriguée (hors 
maraichage)","5,2","7,9","7,0"
"Proportion de ménages agricoles pratiquant la culture maraichère","8,8","15,2","13,1"
"Proportion de ménages agricoles pratiquant la culture de décrue","2,2","4,1","3,5"
"Proportion de ménages agricoles pratiquant l'arboriculture fruitière","4,0","5,3","4,9"
"Proportion de ménages agricoles pratiquant la sylviculture","0,2","0,4","0,3"
"Proportion de ménages agricoles pratiquant la pêche maritime","5,9","1,5","2,9"
"Proportion de ménages agricoles pratiquant la pêche continentale","0,9","0,6","0,7"
"Proportion de ménages agricoles pratiquant l'aquaculture","0,2","0,3","0,3"
"Proportion de ménages agricoles pratiquant l’élevage","85,1","88,0","87,1"
"Caractéristiques des chefs de ménages agricoles","","",""
"Proportion de ménages agricoles dirigés par une femme  
25,2 
11,6 
16,0","","",""
"Nombre de parcelles du ménage","","",""
"Nombre de parcelles possédées","343 231  1 972 390","","2 315 621"
"Nombre de parcelles exploitées","343 499","1 899 575","2 243 574"
"Matériels agricoles possédés par le ménage","","",""
"Proportion des ménages agricoles possédant du matériel agricole motorisé","18,5","11,4","12,6"
"Proportion des ménages agricoles possédant du matériel agricole attelé","57,9","77,1","73,7"
"Matériels agricoles utilisés par le ménage","","",""
"Proportion des ménages agricoles utilisant du matériel agricole motorisé","29,7","21,5","22,9"
"Proportion des ménages agricoles utilisant du matériel agricole attelé","61,0","79,7","76,5"
