"Domaines fonctionnels","Non, pas de 
difficulté","Oui, 
quelques 
difficultés","Oui, 
beaucoup 
de 
difficultés","pas du 
tout 
capable de 
la faire","Prévalence 
totale","Effectif 
population 
cible"
"Moins de 15 ans","","","","","",""
"Faculté visuelle (1 an et +)","98,5","0,9","0,2","0,3","1,5","6 395 004"
"Faculté auditive (1 an et +)","99,1","0,5","0,1","0,3","0,9","6 395 004"
"Mobilité (5 ans et +)","98,4","1,0","0,2","0,4","1,6","4 609 667"
"Mémoire (5 ans et +)","98,9","0,6","0,2","0,4","1,1","4 609 667"
"Communication (5 ans et +)","98,9","0,5","0,1","0,4","1,1","4 609 667"
"Prise en charge de soi (10 ans et +)","98,9","0,5","0,2","0,4","1,1","2 264 651"
"15-24 ans","","","","","",""
"Faculté visuelle (1 an et +)","98,0","1,4","0,3","0,3","2,0","3 770 925"
"Faculté auditive (1 an et +)","99,0","0,5","0,2","0,3","1,0","3 770 925"
"Mobilité (5 ans et +)","98,2","1,1","0,3","0,4","1,8","3 770 925"
"Mémoire (5 ans et +)","98,9","0,6","0,2","0,3","1,1","3 770 925"
"Communication (5 ans et +)","99,0","0,5","0,1","0,4","1,0","3 770 925"
"Prise en charge de soi (10 ans et +)","98,9","0,5","0,2","0,4","1,1","3 770 925"
"25-34 ans","","","","","",""
"Faculté visuelle (1 an et +)","97,7","1,6","0,3","0,3","2,3","2 552 180"
"Faculté auditive (1 an et +)","98,9","0,6","0,2","0,3","1,1","2 552 180"
"Mobilité (5 ans et +)","97,8","1,4","0,4","0,4","2,2","2 552 180"
"Mémoire (5 ans et +)","98,8","0,7","0,2","0,3","1,2","2 552 180"
"Communication (5 ans et +)","99,0","0,5","0,1","0,4","1,0","2 552 180"
"Prise en charge de soi (10 ans et +)","98,9","0,6","0,2","0,4","1,1","2 552 180"
"35-64 ans","","","","","",""
"Faculté visuelle (1 an et +)","92,9","5,6","1,1","0,4","7,1","3 832 374"
"Faculté auditive (1 an et +)","97,9","1,5","0,3","0,3","2,1","3 832 374"
"Mobilité (5 ans et +)","94,1","4,2","1,3","0,5","5,9","3 832 374"
"Mémoire (5 ans et +)","98,0","1,3","0,3","0,4","2,0","3 832 374"
"Communication (5 ans et +)","98,7","0,7","0,1","0,4","1,3","3 832 374"
"Prise en charge de soi (10 ans et +)","98,4","1,0","0,3","0,4","1,6","3 832 374"
"65 ans ou plus","","","","","",""
"Faculté visuelle (1 an et +)","75,7","17,7","5,6","1,1","24,3","687 989"
"Faculté auditive (1 an et +)","89,4","8,0","2,1","0,5","10,6","687 989"
"Mobilité (5 ans et +)","78,1","14,4","6,2","1,2","21,9","687 989"
"Mémoire (5 ans et +)","91,8","6,1","1,5","0,5","8,2","687 989"
"Communication (5 ans et +)","95,9","2,8","0,7","0,6","4,1","687 989"
"Prise en charge de soi (10 ans et +)","92,6","4,9","1,6","0,9","7,4","687 989"
