"","","","","","Oui,","","pas du","","",""
"","","","Oui,","","","","","","","Effectif"
"","Non, pas de","","","","beaucoup","","tout","","Prévalence",""
"Domaines fonctionnels","","","quelques","","","","","","","population"
"","difficulté","","","","de","","capable de","","totale",""
"","","","difficultés","","","","","","","cible"
"","","","","","difficultés","","la faire","","",""
"","","","Ensemble","","","","","","",""
"Faculté visuelle (1 an et +)","96,1","","2,8","","0,7","","0,4","","3,9","17 238 471"
"Faculté auditive (1 an et +)","98,4","","1,0","","0,3","","0,3","","1,6","17 238 471"
"Mobilité (5 ans et +)","96,3","","2,5","","0,8","","0,4","","3,7","15 453 134"
"Mémoire (5 ans et +)","98,3","","1,0","","0,3","","0,4","","1,7","15 453 134"
"Communication (5 ans et +)","98,8","","0,7","","0,2","","0,4","","1,2","15 453 134"
"Prise en charge de soi (10 ans et +)","98,4","","0,9","","0,3","","0,4","","1,6","13 108 118"
"Source: ANSD. RGPH-5, 2023","","","","","","","","","",""
"","La répartition selon le sexe des types de handicap par degré montre que les  difficultés à voir","","","","","","","","",""
"","et  à  marcher  sont  les  plus  répandues  quel  que  soit  le  sexe.  En  effet,  ces  prévalences","","","","","","","","",""
"","représentent respectivement chez les hommes 3,7%, et 3,2%. Par ailleurs, les hommes qui","","","","","","","","",""
"","ont des difficultés à entendre représentent 1,5%, à communiquer 1,3%, à se souvenir ou à","","","","","","","","",""
"se concentrer 1,6% et à prendre soin de soi  1,5%.","","","","","","","","","",""
"","Le  même  constat  est  fait  chez  les  femmes  pour  qui,  celles  qui  ont  des  difficultés  à  voir","","","","","","","","",""
"","représentent  4,1%  et  à  marcher  (4,2%).  Les  prévalences  des  femmes  qui  éprouvent  des","","","","","","","","",""
"","difficultés  à  entendre,  à  communiquer,  à  se  concentrer  et  à  prendre  soin  de  soi,  ne","","","","","","","","",""
"","dépassent pas 1,8% pour chaque domaine fonctionnel.","","","","","","","","",""
"","Tableau XI-4 : Prévalence du handicap (%) par domaine fonctionnel et par degré de difficulté selon le sexe","","","","","","","","",""
"","","","","","","Pas du tout","","","","Effectif"
"Non, pas de","","Oui, quelques","","Oui, beaucoup","","","","Prévalence","",""
"Domaines fonctionnels","","","","","","capable de","","","","population"
"difficulté","","difficultés","","de difficultés","","","","totale","",""
"","","","","","","la faire","","","","cible"
"","","","HOMME","","","","","","",""
"Faculté visuelle 
96,3","","2,6","","0,6","","0,4","","3,7","","8 567 529"
"Faculté auditive 
98,5","","0,9","","0,3","","0,4","","1,5","","8 567 529"
"Mobilité 
96,8","","2,1","","0,7","","0,4","","3,2","","7 645 575"
"Mémoire 
98,4","","1,0","","0,3","","0,4","","1,6","","7 645 575"
"Communication 
98,7","","0,7","","0,2","","0,4","","1,3","","7 645 575"
"Prise en charge de soi 
98,5","","0,8","","0,3","","0,4","","1,5","","6 443 012"
"","","","FEMME","","","","","","",""
"Faculté visuelle 
95,9","","3,0","","0,7","","0,4","","4,1","","8 670 942"
"Faculté auditive 
98,3","","1,1","","0,3","","0,3","","1,7","","8 670 942"
"Mobilité 
95,8","","2,9","","0,9","","0,4","","4,2","","7 807 559"
"Mémoire 
98,3","","1,1","","0,3","","0,4","","1,7","","7 807 559"
"Communication 
98,8","","0,7","","0,2","","0,4","","1,2","","7 807 559"
"Prise en charge de soi 
98,4","","0,9","","0,3","","0,4","","1,6","","6 665 106"
"","","","ENSEMBLE","","","","","","",""
"Faculté visuelle 
96,1","","2,8","","0,7","","0,4","","3,9","","17 238 471"
"Faculté auditive 
98,4","","1,0","","0,3","","0,3","","1,6","","17 238 471"
"Mobilité 
96,3","","2,5","","0,8","","0,4","","3,7","","15 453 134"
"Mémoire 
98,3","","1,0","","0,3","","0,4","","1,7","","15 453 134"
"Communication 
98,8","","0,7","","0,2","","0,4","","1,2","","15 453 134"
"Prise en charge de soi 
98,4","","0,9","","0,3","","0,4","","1,6","","13 108 118"
"Source: ANSD. RGPH-5, 2023","","","","","","","","","",""
