"Tableau  XI-5 :  Prévalence  du  handicap  (%)  par  domaine  fonctionnel  et  par  degré  de  difficulté  selon  le","","","","","",""
"milieu de résidence","","","","","",""
"","","","","Pas du tout","","Effectif"
"","Non, pas de","Oui, quelques","Oui, beaucoup","","Prévalence",""
"Domaines fonctionnels","","","","capable de","","population"
"","difficulté","difficultés","de difficultés","","totale",""
"","","","","la faire","","cible"
"","","","RURAL","","",""
"Faculté visuelle","96,5","2,4","0,7","0,4","3,5","7 847 917"
"Faculté auditive","98,0","1,2","0,3","0,4","2,0","7 847 917"
"Mobilité","95,8","2,8","0,9","0,5","4,2","6 920 370"
"Mémoire","98,0","1,2","0,3","0,4","2,0","6 920 370"
"Communication","98,5","0,8","0,2","0,5","1,5","6 920 370"
"Prise en charge de soi","98,1","1,1","0,3","0,5","1,9","5 650 405"
