"Etat matrimonial","sexe","","","","Ensemble",""
"","Masculin","","Féminin","","",""
"","Effectif","%","Effectif","%","Effectif","%"
"Monogame","235 868","11,2","184 519","9,1","420 387","10,2"
"Polygame","97 059","17,7","158 021","11,1","255 080","12,8"
"Célibataire","155 065","4,8","125 937","5,4","281 002","5,1"
"Veuf/veuve","9 521","31,1","115 893","31,8","125 415","31,8"
"Divorcé","5 827","13,8","15 380","12,8","21 207","13,0"
"Séparé","510","18,0","1 635","19,4","2 145","19,0"
"Union libre 
(Concubinage)","456","12,2","1 447","17,0","1 903","15,5"
