"Tableau XI-9 : Prévalence du handicap (%) par niveau d’instruction selon  le sexe","","","","","",""
"","","Sexe","","","",""
"","","","","","","Ensemble"
"Niveau d’instruction","","Masculin","","Féminin","",""
"","%","Effectif","%","Effectif","%","Effectif"
"Sans instruction","7,7","325 851","9,52","413 237","8,62","739 088"
"Préscolaire","4,32","11 581","4,05","11 131","4,18","22 713"
"Primaire","5,55","101 579","6,06","118 143","5,82","219 721"
"Moyen","6,37","57 041","6,64","62 479","6,51","119 520"
"Secondaire","7,86","40 550","7,39","36 099","7,63","76 649"
"Supérieur","9,71","39 758","9,02","26 144","9,43","65 901"
"Source: ANSD. RGPH-5, 2023","","","","","",""
