"","Tableau XI-13 : Prévalence du handicap (%) par branche d’activités selon le sexe","","","","",""
"","","Sexe","","","",""
"","","","","","","Ensemble"
"Secteur d’activités","Masculin","","","Féminin","",""
"","Effectif","%","Effectif","%","Effectif","%"
"Agriculture","68220","9,0","36614","9,6","104834","9,2"
"Elevage","14071","8,3","4045","9,5","18116","8,6"
"Sylviculture","898","9,8","275","10,7","1173","10,0"
"Pêche et Aquaculture","4089","5,3","786","9,8","4875","5,7"
"Activités extractives","5390","6,7","2227","7,7","7617","7,0"
"Agroalimentaire","3948","7,3","2771","11,5","6718","8,6"
"Raffinage du pétrole","57","11,0","21","18,5","78","12,3"
"Produits chimiques de base","161","10,1","52","14,1","212","10,8"
"Matériaux de construction","1598","6,4","75","9,4","1673","6,5"
"Autres industries manufacturières","12372","6,3","3910","7,8","16282","6,6"
"Production et Distribution","","","","","",""
"","360","7,5","76","14,8","436","8,2"
"d'électricité","","","","","",""
"Production et Distribution d'eau","347","8,3","114","7,9","462","8,2"
"Construction bâtiment et génie civil","10546","6,0","420","8,4","10965","6,0"
"Commerce","21261","6,1","27476","11,8","48737","8,4"
"Transport et Entreposage","10374","5,4","631","7,8","11006","5,5"
"Hébergement et Restauration","1081","7,7","2220","9,3","3301","8,7"
"Information et Communication","1978","10,3","879","11,2","2857","10,5"
"Activités financières d'assurance","2357","9,3","1754","11,2","4110","10,0"
"Activités immobilières","839","7,8","169","10,2","1008","8,1"
"Services spécialisés scientifiques et","","","","","",""
"","1069","10,0","270","11,4","1339","10,3"
"techniques","","","","","",""
"Services de soutien aux activités de","","","","","",""
"","2018","8,3","569","10,3","2587","8,7"
"bureau","","","","","",""
"Administration publique","3260","9,9","1514","12,8","4774","10,7"
"Enseignement","10664","11,3","5471","12,3","16135","11,6"
"Santé et Action sociale","5775","9,3","5148","10,7","10923","9,9"
"Activités à caractère collectif ou","","","","","",""
"","1762","6,4","703","8,3","2465","6,9"
"personnel","","","","","",""
"Services domestiques","5869","7,6","9612","6,5","15481","6,8"
"Autres services","24256","7,6","11992","9,0","36248","8,0"
"Correction territoriale","3107","6,5","1610","8,4","4717","7,1"
"Source: ANSD. RGPH-5, 2023","","","","","",""
