"Profession","Sexe","","","","Ensemble",""
"","Masculin","","Féminin","","",""
"","%","Effectif","%","Effectif","%","Effectif"
"Membres de l’exécutif et des 
corps législatifs, cadres 
supérieurs de l’administration 
publique, dirigeants et cadres","10,3","5 032","12,4","4 761","11,2","9 793"
"Professions intellectuelles et 
scientifiques","8,8","75 485","9,1","64 419","8,9","139 904"
"Professions intermédiaires","8,8","58 731","9,5","61 848","9,1","120 579"
"Employés de type administratif","10,7","2 458","14,1","21 95","12,1","4 653"
"Personnel des services et 
vendeurs de magasin et de 
marché","7,3","23 528","11,7","35 274","9,5","58 802"
"Agriculteurs et ouvriers qualifiés 
de l’agriculture et de la pêche","9,3","55416","9,8","21 377","9,5","76 793"
"Artisans et ouvriers des métiers 
de type artisanal","6,4","33 821","7,8","6 075","6,6","39 896"
"Conducteurs d’installations et de 
machines et ouvriers de 
l’assemblage","6","11 702","9,3","432","6,1","12 134"
"Ouvriers et employés non 
qualifiés","7","231 166","8,2","402 480","7,7","633 645"
"Autres","7,2","58 875","7,7","50 074","7,4","108 948"
"Ensemble","7,5","556 213","8,6","648 935","8,1","1 205 148"
