"PRINCIPAUX INDICATEURS","VIII"
"INTRODUCTION","X"
"XI.1. DEFINITION CONCEPTUELLE, MESURE DU HANDICAP ET QUALITE DES DONNEES","12"
"XI.1.1. DEFINITION CONCEPTUELLE DU HANDICAP","12"
"XI.1.2. DEFINITION DE LA PREVALENCE","13"
"XI.1.3. MESURE DU HANDICAP","14"
"XI.1.4. EVALUATION DE LA QUALITE DES DONNEES","15"
"XI.2. ETAT ET STRUCTURE DE LA POPULATION VIVANT AVEC UN HANDICAP","16"
"XI.2.1. VOLUME ET STRUCTURE PAR AGE ET PAR SEXE DES TYPES DE HANDICAP","16"
"XI.2.1.1. Prévalence des types de handicap au niveau national","16"
"XI.2.1.2. Prévalence du handicap par domaine fonctionnel et structure par âge et par sexe","16"
"XI.2.1.3. Prévalence du handicap par milieu de résidence selon le sexe","18"
"XI.2.1.4. Prévalence par région selon le type de handicap","19"
"XI.2.2. RAPPORT DE MASCULINITE ET PYRAMIDE DES AGES DES PERSONNES VIVANT AVEC UN HANDICAP","21"
"XI.3. CARACTERISTIQUES SOCIODEMOGRAPHIQUES DES PERSONNES VIVANT AVEC UN HANDICAP 22",""
"XI.3.1. SITUATION MATRIMONIALE DES PERSONNES VIVANT AVEC UN HANDICAP","22"
"XI.3.2. TYPOLOGIE DES MENAGES AYANT UNE PERSONNE VIVANT AVEC UN HANDICAP","23"
"XI.4. CARACTERISTIQUES SOCIOECONOMIQUES DES PERSONNES VIVANT AVEC UN HANDICAP","23"
"XI.4.1. FREQUENTATION SCOLAIRE ET ALPHABETISATION DES PERSONNES VIVANT AVEC UN HANDICAP","23"
"XI.4.2. NIVEAU D’INSTRUCTION DES PERSONNES VIVANT AVEC UN HANDICAP","25"
"XI.4.3. FORMATION PROFESSIONNELLE DES PERSONNES VIVANT AVEC UN HANDICAP","25"
"XI.4.4. SITUATION PAR RAPPORT A L’OCCUPATION DES PERSONNES VIVANT AVEC UN HANDICAP","25"
"XI.4.5. SITUATION DANS L’OCCUPATION PRINCIPALE DES PERSONNES VIVANT AVEC UN HANDICAP","26"
"XI.4.6. BRANCHE D’ACTIVITES DES PERSONNES VIVANT AVEC UN HANDICAP","27"
"XI.4.7. PROFESSION DES PERSONNES VIVANT AVEC UN HANDICAP","28"
"XI.4.8. STATUT SOCIOECONOMIQUE DES MENAGES AYANT UNE PERSONNE EN SITUATION DE HANDICAP","29"
