"Tableau XIII-2 : Répartition des rapports de masculinité par région selon le milieu de résidence","","",""
"Région","Urbain","Rural","Ensemble"
"Dakar","101,7","","101,7"
"Ziguinchor","106,0","107,8","106,8"
"Diourbel","95,9","102,4","98,0"
"Saint-Louis","106,8","100,3","103,3"
"Tambacounda","104,4","104,3","104,3"
"Kaolack","100,3","103,0","102,0"
"Thiès","103,7","104,8","104,2"
"Louga","100,0","100,5","100,4"
"Fatick","97,9","100,9","100,2"
"Kolda","102,3","106,1","104,7"
"Matam","116,9","101,5","106,1"
"Kaffrine","97,3","103,8","102,8"
"Kédougou","116,3","117,6","117,2"
"Sédhiou","103,8","106,1","105,5"
"Total","101,9","103,4","102,6"
"Source: ANSD. RGPH-5, 2023","","",""
