"Groupe 
d’âges","Urbain","","","","Rural","","","","Ensemble","","",""
"","Homme","Femme","Ensemble","Indice 
de 
parité","Homme","Femme","Ensemble","Indice 
de 
parité","Homme","Femme","Ensemble","Indice 
de 
parité"
"15-19","16,3%","16,2%","16,3%","99","25,4%","25,3%","25,3%","100","20,6%","20,2%","20,4%","98"
"20-24","16,5%","16,9%","16,7%","102","27,2%","27,7%","27,4%","102","21,1%","21,4%","21,3%","102"
"25-29","16,5%","17,5%","17,0%","106","27,7%","29,0%","28,4%","105","21,0%","22,2%","21,6%","105"
"30-34","17,2%","19,1%","18,2%","111","28,5%","31,0%","29,8%","109","21,6%","23,8%","22,7%","110"
"35-39","17,3%","19,8%","18,5%","115","29,3%","32,2%","30,8%","110","21,8%","24,6%","23,3%","113"
"40-44","18,0%","20,4%","19,2%","113","30,0%","32,8%","31,4%","109","22,6%","25,1%","23,8%","111"
"45-49","17,5%","20,4%","18,9%","117","29,5%","33,1%","31,3%","112","22,1%","25,4%","23,8%","115"
"50-54","18,2%","21,5%","19,9%","118","30,5%","33,6%","32,1%","110","23,1%","26,6%","24,9%","115"
"55-59","18,0%","21,2%","19,7%","118","30,6%","33,6%","32,2%","110","23,1%","26,1%","24,7%","113"
"60-64","19,4%","22,3%","20,9%","115","31,6%","33,8%","32,8%","107","24,5%","27,2%","25,9%","111"
"65-69","18,6%","21,4%","20,0%","115","30,5%","32,8%","31,6%","107","23,5%","25,8%","24,6%","110"
"70-74","20,5%","23,4%","22,0%","114","32,1%","33,2%","32,7%","103","25,6%","27,7%","26,7%","108"
"75-79","21,1%","23,5%","22,4%","111","32,1%","32,6%","32,4%","101","26,1%","27,3%","26,7%","105"
"80-84","21,5%","25,3%","23,6%","118","32,2%","33,4%","32,8%","103","26,8%","29,1%","28,0%","108"
"85-89","22,5%","24,5%","23,6%","109","32,9%","32,1%","32,5%","98","27,6%","27,7%","27,7%","101"
"90-94","24,4%","25,7%","25,2%","105","32,9%","34,3%","33,7%","104","28,9%","29,8%","29,4%","103"
"95 et 
plus","27,7%","27,9%","27,8%","101","36,8%","33,9%","35,2%","92","32,7%","30,8%","31,6%","94"
"Total","17,3%","18,8%","18,1%","109","28,2%","29,9%","29,1%","106","21,8%","23,4%","22,6%","107"
