"Groupe d’âges","Urbain","","","","Rural","","","","Ensemble","","",""
"","Homme","Femme","Ensemble","Indice 
de 
parité","Homme","Femme","Ensemble","Indice 
de 
parité","Homme","Femme","Ensemble","Indice 
de 
parité"
"DAKAR","13,9%","15,2%","14,6%","110","","","","","13,9%","15,2%","14,6%","110"
"ZIGUINCHOR","9,7%","11,2%","10,4%","115","17,1%","21,7%","19,4%","127","12,9%","15,7%","14,3%","122"
"DIOURBEL","33,5%","33,6%","33,5%","100","28,6%","29,3%","28,9%","102","31,9%","32,3%","32,1%","101"
"SAINT-LOUIS","16,0%","16,8%","16,4%","105","26,4%","27,2%","26,8%","103","21,3%","22,1%","21,7%","104"
"TAMBACOUNDA","15,5%","16,6%","16,0%","107","31,0%","30,9%","31,0%","100","26,6%","26,8%","26,7%","101"
"KAOLACK","20,6%","21,6%","21,1%","105","34,2%","36,4%","35,3%","106","28,8%","30,1%","29,5%","105"
"THIES","15,5%","16,9%","16,2%","109","27,7%","29,4%","28,5%","106","20,5%","21,9%","21,2%","107"
"LOUGA","21,3%","23,0%","22,2%","108","28,5%","29,5%","29,0%","104","26,5%","27,6%","27,1%","104"
"FATICK","12,2%","13,9%","13,1%","114","22,9%","25,4%","24,2%","111","20,4%","22,5%","21,5%","110"
"KOLDA","17,9%","19,9%","18,9%","111","22,4%","24,8%","23,6%","110","20,7%","22,9%","21,8%","111"
"MATAM","23,0%","24,3%","23,7%","105","30,9%","30,5%","30,7%","99","28,3%","28,6%","28,5%","101"
"KAFFRINE","17,2%","18,5%","17,9%","108","38,2%","40,0%","39,1%","105","34,8%","36,3%","35,6%","104"
"KEDOUGOU","15,4%","18,2%","16,7%","118","20,4%","23,9%","22,0%","117","18,8%","22,0%","20,3%","117"
"SEDHIOU","10,8%","13,3%","12,1%","123","24,8%","28,3%","26,6%","114","21,5%","24,8%","23,2%","115"
"Total","17,3%","18,8%","18,1%","109","28,2%","29,9%","29,1%","106","21,8%","23,4%","22,6%","107"
