"Situation par rapport à l'occupation","Urbain","","","","Rural","","","","Ensemble","","",""
"","Homme","Femme","Ensemble","Indice 
de 
parité","Homme","Femme","Ensemble","Indice 
de 
parité","Homme","Femme","Ensemble","Indice 
de 
parité"
"Occupé","53,50%","23,90%","38,30%","045","40,30%","13,70%","26,70%","034","48,00%","19,70%","33,50%","041"
"Chômeur ayant travaillé","2,50%","0,80%","1,70%","033","3,90%","0,80%","2,30%","021","3,10%","0,80%","1,90%","027"
"A la recherche d'un premier emploi","9,10%","18,00%","13,60%","198","18,50%","30,80%","24,80%","167","13,00%","23,30%","18,20%","179"
"Occupé au foyer","-","31,60%","16,20%","-","0,00%","35,80%","18,20%","-","0,00%","33,30%","17,10%","-"
"Etudiant/élève","18,20%","18,20%","18,20%","100","13,90%","12,00%","13,00%","086","16,50%","15,70%","16,10%","095"
"Rentier","2,50%","1,20%","1,80%","048","2,90%","1,20%","2,00%","039","2,70%","1,20%","1,90%","044"
"Personne du 3e âge pensionnée (FNR ou IPRES)","0,70%","0,30%","0,50%","037","0,30%","0,20%","0,30%","066","0,50%","0,20%","0,40%","045"
"Personne du 3e âge non pensionnée","0,80%","0,90%","0,90%","115","1,00%","1,20%","1,10%","126","0,90%","1,10%","1,00%","120"
"Autres inactifs, à préciser","12,60%","5,10%","8,80%","040","19,20%","4,20%","11,50%","022","15,30%","4,70%","9,90%","031"
"Total","100,0%","100,0%","100,0%","100","100,0%","100,0%","100,0%","100","100,0%","100,0%","100,0%","100"
