"Branches d’activités","Urbain","","","","Rural","","","Ensemble","","","",""
"","Homme","Femme","Ensemble","Indice de parité","Homme","Femme","Ensemble","Indice de parité","Homme","Femme","Ensemble","Indice de parité"
"Agriculture","8,3%","11,0%","9,1%","133","49,9%","60,0%","52,5%","120","23,2%","25,3%","23,8%","109"
"Autres industries 
manufacturières","9,7%","5,6%","8,4%","58","3,1%","1,5%","2,7%","49","7,3%","4,4%","6,4%","61"
"Production et 
Distribution 
d’électricité","0,3%","0,1%","0,2%","24","0,1%","0,0%","0,1%","16","0,2%","0,0%","0,1%","25"
"Production et 
Distribution d’eau","0,2%","0,2%","0,2%","83","0,1%","0,0%","0,1%","47","0,2%","0,1%","0,2%","84"
"Construction bâtiment 
et génie civil","8,3%","0,5%","5,8%","07","4,0%","0,2%","3,0%","05","6,7%","0,4%","4,9%","07"
"Commerce","16,9%","26,0%","19,8%","154","6,3%","7,7%","6,7%","121","13,1%","20,7%","15,3%","158"
"Transport et 
Entreposage","8,4%","0,9%","6,0%","11","5,4%","0,3%","4,1%","06","7,3%",",7%","5,3%","10"
"Hébergement et 
Restauration","0,8%","2,8%","1,4%","375","0,2%","0,6%","0,3%","395","0,5%","2,2%","1,0%","404"
"Information et 
Communication","1,1%","1,0%","1,0%","91","0,1%","0,1%","0,1%","66","0,7%","0,7%","0,7%","97"
"Activités financières 
d’assurance","1,3%","1,9%","1,5%","144","0,3%","0,3%","0,3%","88","1,0%","1,4%","1,1%","150"
"Activités immobilières","0,6%","0,2%","0,4%","37","0,2%","0,0%","0,1%","17","0,4%","0,2%","0,3%","37"
"Elevage","2,1%","1,1%","1,8%","52","10,9%","6,9%","9,9%","64","5,2%","2,8%","4,5%","53"
"Services spécialisés 
scientifiques et 
techniques","0,5%","0,3%","0,5%","51","0,2%","0,1%","0,1%","48","0,4%","0,2%","0,3%","54"
"Services de soutien 
aux activités de 
bureau","1,3%","0,7%","1,1%","52","0,3%","0,1%","0,2%","38","0,9%","0,5%","0,8%","54"
"Administration 
publique","1,7%","1,4%","1,6%","83","0,4%","0,2%","0,3%","57","1,2%","1,1%","1,2%","87"
"Enseignement","4,1%","4,9%","4,3%","119","2,5%","1,8%","2,3%","69","3,5%","4,0%","3,7%","112"
"Santé et Action 
sociale","2,7%","4,8%","3,4%","178","1,3%","2,4%","1,6%","183","2,2%","4,1%","2,8%","186"
"Activités à caractère 
collectif ou personnel","1,4%","0,9%","1,3%","67","0,4%","0,3%","0,3%","75","1,0%","0,7%","0,9%","73"
"Services 
domestiques","2,2%","13,3%","5,8%","595","2,9%","9,5%","4,6%","330","2,5%","12,2%","5,4%","495"
"Autres services","15,3%","14,2%","14,9%","93","5,0%","4,2%","4,8%","84","11,6%","11,3%","11,5%","97"
"Correction territoriale","2,2%","1,9%","2,1%","86","0,9%","0,8%","0,8%","88","1,7%","1,5%","1,6%","91"
"Sylviculture","0,3%","0,2%","0,2%","59","0,5%","0,3%","0,4%","72","0,3%","0,2%","0,3%","62"
"Pêche et Aquaculture","3,4%","0,8%","2,6%","23","1,8%","0,4%","1,4%","21","2,8%","0,7%","2,2%","24"
"Activités extractives","3,5%","2,7%","3,3%","78","1,7%","1,3%","1,6%","73","2,9%","2,3%","2,7%","80"
"Agroalimentaire","2,5%","2,5%","2,5%","101","1,2%","1,0%","1,1%","88","2,0%","2,1%","2,1%","103"
"Raffinage du pétrole","0,0%","0,0%","0,0%","47","0,0%","0,0%","0,0%","55","0,0%","0,0%","0,0%","51"
"Produits chimiques 
de base","0,1%","0,0%","0,1%","53","0,0%","0,0%","0,0%","40","0,1%","0,0%","0,1%","54"
"Matériaux de 
construction","1,1%","0,1%","0,8%","07","0,7%","0,0%","0,5%","07","0,9%","0,1%","0,7%","07"
"Total","100,0%","100,0%","100,0%","100","100,0%","100,0%","100,0%","100","100,0%","100,0%","100,0%","100"
