"","Tableau XIII-26 : Répartition des ménages par statut d’occupation du logement du ménage selon le milieu","","","","","","","",""
"","de résidence et le sexe du chef de ménage","","","","","","","",""
"","","Urbain","","","Rural","","","Ensemble",""
"Statut","","","","","","","","","Indice"
"","","","Indice de","","","Indice de","","",""
"d’occupation","Homme","Femme","","Homme","Femme","","Homme","Femme","de"
"","","","parité","","","parité","","",""
"","","","","","","","","","parité"
"Propriétaire","54,4%","56,9%","1,05","88,8%","86,5%","0,97","68,8%","63,1%","92"
"Co propriétaire","4,4%","5,1%","1,18","5,8%","6,8%","1,16","5,0%","5,5%","110"
"Location-vente","0,5%","0,5%","0,94","0,1%","0,2%","1,40","0,3%","0,4%","119"
"Locataire simple","","","","","","","","",""
"","17,3%","17,9%","1,03","0,3%","0,6%","1,74","10,1%","14,2%","140"
"avec contrat","","","","","","","","",""
"Locataire simple","","","","","","","","",""
"","14,4%","12,0%","0,83","1,1%","1,5%","1,34","8,8%","9,8%","111"
"sans contrat","","","","","","","","",""
"Co locataire avec","","","","","","","","",""
"","1,9%","1,8%","0,95","0,1%","0,1%","1,42","1,1%","1,4%","128"
"contrat","","","","","","","","",""
"Co locataire sans","","","","","","","","",""
"","3,1%","2,5%","0,82","0,3%","0,4%","1,42","1,9%","2,1%","109"
"contrat","","","","","","","","",""
"Logé par","","","","","","","","",""
"","1,3%","0,5%","0,34","0,4%","0,5%","1,06","1,0%","0,5%","47"
"employeur","","","","","","","","",""
"Logé par les","","","","","","","","",""
"parents / amis /","1,7%","1,7%","1,00","1,0%","1,3%","1,33","1,4%","1,6%","117"
"tierce personne","","","","","","","","",""
"Occupation","","","","","","","","",""
"informelle","0,2%","0,2%","0,74","0,5%","0,4%","0,78","0,3%","0,2%","62"
"(irrégulière)","","","","","","","","",""
"Droit coutumier /","","","","","","","","",""
"Occupation","0,4%","0,4%","1,22","1,2%","1,5%","1,22","0,7%","0,7%","91"
"coutumière","","","","","","","","",""
"Autre","0,5%","0,6%","1,03","0,4%","0,5%","1,26","0,5%","0,5%","114"
"Total","100,0%","100,0%","1,0","100,0%","100,0%","1,0","100,0%","100,0%","100"
"","Source: ANSD. RGPH-5, 2023","","","","","","","",""
