"Intitulé de l'indicateur","Niveau de l'indicateur","",""
"Situation socioéconomique des femmes","Urbain  Rural","","National"
"Rapport de masculinité","101,9","103,4","102,6"
"Taux de mortalité maternelle (pour 1000 FAR)","21","33","26"
"Rapport de mortalité maternelle (pour 100 000 naissances)","220","207","213"
"Indice de parité de la scolarisation préscolaire (%)","110,4","112,1","111,4"
"Indice de parité de la scolarisation primaire (%)","100%","103%","102%"
"Indice de parité de la scolarisation moyen (%)","","112,8%  116,3%","115,3%"
"Indice de parité de la scolarisation au secondaire (%)","114,1","112,1","115,8"
"Indice de parité de l’alphabétisation des 15 ans et plus (%)","109,0","106,0","107,0"
"Indice de parité relatif au taux d’activité des 15 ans et plus (%)","66,0","72,0","68,0"
"ISF1","3,5","5,4","4,2"
"AMP2 (15-49 ans)","31,8","31,1","31,4"
"Espérance de vie à la naissance des femmes","71,4","67,7","70,0"
"Possession de pièce d’Etat Civil par les femmes (%)","87,3","71,4","80,1"
"Age moyen au 1er mariage des femmes","24,7","20,9","23,1"
"Proportion des adolescentes au sein des femmes mariées (%)","4,1","9,8","6,8"
"Proportion des adolescentes au sein des femmes mariées polygames (%)","2,3","5,1","3,7"
