"Indice de parité de la scolarisation moyen (%)","","112,8%  116,3%","115,3%"
"Indice de parité de la scolarisation au secondaire (%)","114,1","112,1","115,8"
"Indice de parité de l’alphabétisation des 15 ans et plus (%)","109,0","106,0","107,0"
"Indice de parité relatif au taux d’activité des 15 ans et plus (%)","66,0","72,0","68,0"
"ISF1","3,5","5,4","4,2"
"AMP2 (15-49 ans)","31,8","31,1","31,4"
"Espérance de vie à la naissance des femmes","71,4","67,7","70,0"
"Possession de pièce d’Etat Civil par les femmes (%)","87,3","71,4","80,1"
"Age moyen au 1er mariage des femmes","24,7","20,9","23,1"
"Proportion des adolescentes au sein des femmes mariées (%)","4,1","9,8","6,8"
