"","Tableau II-3 : Répartition de la population âgée de 10 ans ou plus et taux d’alphabétisation (y compris l’alphabétisation","","","","","","",""
"","en français) par groupe d’âge selon le sexe en 2023","","","","","","",""
"Groupe","Population âgée de 10 ans et plus","","","Population alphabétisée","","","Taux d'alphabétisation (%)",""
"d’âge","Homme 
Femme","Ensemble","Homme","Femme","Ensemble","Homme","Femme","Ensemble"
"10-14","1 150 132       1 114 519","2 264 651","708 744","684 643","1 393 387","61,6","61,4","61,5"
"15-19","1 027 889       1 035 009","2 062 898","757 924","756 031","1 513 955","73,7","73,0","73,4"
"20-24","818 966        889 061","1 708 027","585 415","600 952","1 186 367","71,5","67,6","69,5"
"25-29","644 229        705 802","1 350 030","450 923","444 170","895 093","70,0","62,9","66,3"
"30-34","581 281        620 868","1 202 149","388 950","350 186","739 135","66,9","56,4","61,5"
"35-39","504 496        531 200","1 035 696","326 828","276 954","603 782","64,8","52,1","58,3"
"40-44","419 841        400 547","820 389","268 449","200 729","469 178","63,9","50,1","57,2"
"45-49","317 452        317 149","634 600","204 848","156 345","361 193","64,5","49,3","56,9"
"50-54","270 699        288 260","558 959","173 148","135 120","308 269","64,0","46,9","55,2"
"55-59","188 648        205 377","394 024","120 565","94 141","214 706","63,9","45,8","54,5"
"60-64","187 577        201 128","388 705","117 675","88 229","205 904","62,7","43,9","53,0"
"65-69","129 139        129 036","258 175","83 035","56 201","139 236","64,3","43,6","53,9"
"70-74","100 061        107 365","207 426","62 350","43 695","106 046","62,3","40,7","51,1"
"75-79","47 305      
 51 125","98 430","28 306","19 430","47 736","59,8","38,0","48,5"
"80-84","31 360      
 38 226","69 587","17 813","13 931","31 743","56,8","36,4","45,6"
"85-89","13 320      
 15 551","28 870","7 470","5 480","12 950","56,1","35,2","44,9"
"90-94","6 662      
 9 112","15 774","3 627","3 230","6 857","54,4","35,4","43,5"
"95+","3 955      
 5 771","9 726","2 230","2 101","4 331","56,4","36,4","44,5"
"Sénégal","","6 443 012       6 665 106        13 108 118        4 308 299       3 931 567       8 239 867","","","","66,9","59,0","62,9"
