"Urbain","3 638 236 
3 819 478 
7 457 714 
2 556 482 
2 369 016 
4 925 498 
70,3 
62,0 
66,0"
"Rural","2 804 776 
2 845 629 
5 650 405 
1 751 817 
1 562 551 
3 314 368 
62,5 
54,9 
58,7"
"","Région"
"Dakar","1 565 889       1 592 970       3 158 858       1 127 580      
 1 030 947       2 158 527       72,0       64,7       68,3"
"Ziguinchor","235 932       227 195        463 127       174 229       147 467       321 696       73,8       64,9       69,5"
"Diourbel","677 525       772 291       1 449 816       455 576       424 554       880 130       67,2       55,0       60,7"
"Saint-louis","426 512       442 043        868 556       274 663       252 849       527 512       64,4       57,2       60,7"
"Tambacoun","337 579       338 453        676 032       185 794       162 348       348 142       55,0       48,0       51,5"
"da",""
"Kaolack","446 567       471 968        918 535       329 271       314 683       643 954       73,7       66,7       70,1"
"Thiès","907 157       915 675       1 822 833       608 273       549 773       1 158 046       67,1       60,0       63,5"
"Louga","385 626       419 348        804 974       233 691       215 301       448 992       60,6       51,3       55,8"
"Fatick","308 879       325 277        634 156       204 920       203 454       408 374       66,3       62,5       64,4"
"Kolda","317 617       314 752        632 369       190 681       164 310       354 991       60,0       52,2       56,1"
"Matam","272 661       288 557        561 218       151 292       141 114       292 406       55,5       48,9       52,1"
"Kaffrine","269 026       277 912        546 937       189 610       173 974       363 584       70,5       62,6       66,5"
"Kedougou","91 750      
 78 209      
 169 959      
 48 641      
 37 836      
 86 477        53,0       48,4       50,9"
"Sédhiou","200 292       200 456        400 748       134 079       112 957       247 036       66,9       56,3       61,6"
"Sénégal","6 443 012       6 665 106      
 13 108 118      
 4 308 299      
 3 931 567       8 239 867       66,9       59,0       62,9"
