"Contexte de résidence 
Français  
Wolof  
Pulaar  
Sereer  
Mandingue  
Diola  
Soninké  
Arabe  
 Autres langues","","","","","","","","",""
"Milieu de résidence","","","","","","","","",""
"Urbain 
46,3 
14,9 
3,3 
0,9 
0,4 
0,4 
0,2 
10,3 
0,6","","","","","","","","",""
"Rural 
25,9 
15,0 
9,9 
3,5 
1,5 
0,8 
0,4 
14,0 
1,4","","","","","","","","",""
"Région","","","","","","","","",""
"Dakar","54,8","12,9","2,4","0,9","0,2","0,5","0,2","7,1","0,4"
"Ziguinchor","58,1","6,8","1,4","0,3","1,9","8,7","0,0","4,4","1,0"
"Diourbel","20,1","28,7","1,3","3,0","0,1","0,1","0,1","19,6","0,6"
"Saint-Louis","35,9","9,5","12,6","0,2","0,1","0,1","0,1","11,8","0,7"
"Tambacounda","22,7","5,0","16,9","1,0","3,3","0,2","1,6","7,9","1,5"
"Kaolack","36,6","23,8","4,4","3,7","0,4","0,3","0,3","19,1","0,9"
"Thies","41,5","17,8","1,9","3,6","0,1","0,2","0,1","10,5","0,7"
"Louga","23,2","18,4","8,1","0,9","0,1","0,1","0,1","14,6","1,6"
"Fatick","41,8","13,0","1,9","9,3","0,5","0,3","0,3","11,6","0,8"
"Kolda","31,5","3,4","16,3","0,3","1,0","0,2","0,5","9,9","1,6"
"Matam","20,8","1,8","25,2","0,2","0,2","0,2","0,8","9,4","1,2"
"Kaffrine","19,5","29,0","6,1","1,4","0,5","0,3","0,3","25,2","0,9"
"Kedougou","32,1","2,5","11,3","0,1","6,5","0,1","0,2","3,4","1,4"
"Sedhiou","34,0","3,9","7,2","0,3","9,8","1,1","0,1","13,1","4,0"
"Sénégal","37,5","14,9","6,1","2,0","0,8","0,6","0,3","11,9","0,9"
