"Tableau II-6 : Taux d’alphabétisation de la population âgée de 10 ans et plus en langues nationales et en arabe par sexe","","","","",""
"et par milieu de résidence","","","","",""
"","","Effectif","","Pourcentage",""
"Milieu de","","Non alphabétisé en","Alphabétisé en","Non alphabétisé en","Alphabétisé en"
"","Sexe","","","",""
"résidence","","langues nationales et","langues nationales","langues nationales et","langues nationales"
"","","arabe","et arabe","arabe","et arabe"
"","Masculin","2926267","893211","76,6","23,4"
"Urbain","Féminin","2583678","1054558","71,0","29,0"
"","Ensemble","5509945","1947768","73,9","26,1"
"","Masculin","1842839","1002790","64,8","35,2"
"Rural","Féminin","1637098","1167678","58,4","41,6"
"","Ensemble","3479937","2170467","61,6","38,4"
"","Masculin","4769106","1896000","71,6","28,4"
"National","Féminin","4220776","2222236","65,5","34,5"
"","Ensemble","","","",""
"","","8989882","4118236","68,6","31,4"
"Source: ANSD. RGPH-5, 2023","","","","",""
