"Urbain 
Rural 
National 
Niveau d’instruction 
Masculin 
Féminin 
Ensemble  Masculin  Féminin  Ensemble  Masculin 
Féminin 
Ensemble","","","","","","","","",""
"","","","","","","","","",""
"Effectif","","","","","","","","",""
"Coranique","110 282","23 224","133 506","83 956","25 001","108 957","194 238","48 225","242 463"
"Préscolaire","87 473","90 971","178 444","43 218","44 987","88 205","130 691","135 958","266 649"
"Primaire","738 689","641 147","1 379 836","626 449","569 674","1 196 124","","1 365 138  1 210 821","2 575 960"
"Moyen","222 105","258 151","480 256","130 476","144 591","275 067","352 581","402 742","755 323"
"Secondaire","126 710","151 229","277 938","48 627","51 376","100 004","175 337","202 605","377 942"
"Supérieur","96 775","91 002","187 777","21 993","13 427","35 420","118 768","104 429","223 197"
"Tous niveaux","1 382 034","1 255 723","2 637 757","954 719","849 056","1 803 775","","2 336 753  2 104 780","4 441 533"
"Proportion","","","","","","","","",""
"Sans niveau","82,6","17,4","100,0","77,1","22,9","100,0","80,1","19,9","100,0"
"Préscolaire","49,0","51,0","100,0","49,0","51,0","100,0","49,0","51,0","100,0"
"Primaire","53,5","46,5","100,0","52,4","47,6","100,0","53,0","47,0","100,0"
"Moyen","46,2","53,8","100,0","47,4","52,6","100,0","46,7","53,3","100,0"
"Secondaire","45,6","54,4","100,0","48,6","51,4","100,0","46,4","53,6","100,0"
"Supérieur","51,5","48,5","100,0","62,1","37,9","100,0","53,2","46,8","100,0"
"Tous niveaux","52,4","47,6","100,0","52,9","47,1","100,0","52,6","47,4","100,0"
