"proportion d’élèves qui fréquentent une école privée est plus faible (10%).","","","","","","","",""
"","Tableau II-9 : Répartition (%) des élèves/étudiants par sexe et par niveau d'études selon le type d’établissement","","","","","","",""
"fréquenté","","","","","","","",""
"","","","Privé","","Privé","","",""
"Caractéristiques","","Privé","","","","Autre Privé","",""
"","Public","","confessionnel","","confessionnel/","","Communautaire","Total"
"descriptives","","laïc","","","","confessionnel","",""
"","","","/ chrétien","","islamique","","",""
"","","","","Sexe","","","",""
"Hommes","86,0","9,1","1,0","","3,1","0,5","0,3","100,0"
"Femmes","85,9","9,2","1,0","","3,0","0,5","0,4","100,0"
"Ensemble","86,0","9,1","1,0","","3,0","0,5","0,4","100,0"
"","","","","Niveau d’instruction","","","",""
"Préscolaire","68,6","21,4","2,0","","6,3","1,2","0,6","100,0"
"Primaire","86,2","8,0","0,9","","3,9","0,5","0,5","100,0"
"Moyen","89,9","7,2","0,9","","1,5","0,4","0,1","100,0"
"Secondaire","88,6","8,9","0,8","","1,1","0,5","0,1","100,0"
"Supérieur","87,3","10,9","0,6","","0,4","0,8","0,1","100,0"
"Ensemble","86,0","9,1","1,0","","3,0","0,5","0,4","100,0"
