"Contexte 
de 
résidence","Garçon","","","","fille","","","","Ensemble","",""
"","n'a 
jamais 
fréquenté","Ne 
fréquente 
plus","Fréquente 
actuellement","Total","n'a 
jamais 
fréquenté","Ne 
fréquente 
plus","Fréquente 
actuellement","Total","n'a 
jamais 
fréquenté","Ne 
fréquente 
plus","Fréquente 
actuellement"
"Milieu de résidence","","","","","","","","","","",""
"Urbain 
12,3 
19,9 
67,8 
13,5 
18,3 
68,2 
100 
100","","","","","","","","","12,9 
19,1 
68,0","",""
"Rural 
28,5 
20,3 
51,2 
28,9 
18,5 
52,6 
100 
100","","","","","","","","","28,7 
19,4 
51,9","",""
"Région","","","","","","","","","","",""
"Dakar","8,2","19","72,8","100","9","17,2","73,8","100","8,6","18,2","73,3"
"Ziguinchor","6,2","15,4","78,4","100","5,7","13,2","81,1","100","5,9","14,4","79,7"
"Diourbel","21,9","21,7","56,4","100","26,4","21,4","52,2","100","24","21,6","54,5"
"Saint-louis","23,3","20,1","56,6","100","23,4","18,1","58,5","100","23,3","19,2","57,5"
"Tambacounda","42,7","17","40,3","100","43,2","15,2","41,6","100","42,9","16,2","40,9"
"Kaolack","16,7","23,3","60","100","17","21,7","61,3","100","16,9","22,6","60,6"
"Thiès","13,2","20,5","66,3","100","12,6","18,5","68,9","100","12,9","19,5","67,5"
"Louga","28,9","20,6","50,5","100","32,1","18,7","49,2","100","30,4","19,7","49,9"
"Fatick","15,6","20,3","64,1","100","13,2","17,7","69,1","100","14,5","19,1","66,5"
"Kolda","25","17,2","57,8","100","24,4","15,6","59,9","100","24,7","16,5","58,8"
"Matam","38,8","17,2","44","100","42,4","15,1","42,6","100","40,4","16,2","43,4"
"Kaffrine","30,1","25,6","44,3","100","30,9","24,6","44,4","100","30,5","25,2","44,4"
"Kedougou","27,4","16","56,6","100","27,8","15,1","57","100","27,6","15,6","56,8"
"Sédhiou","19,4","20,5","60,1","100","20,5","18,5","61","100","19,9","19,6","60,5"
"Sénégal","20,5","20,1","59,4","100","21,3","18,4","60,3","100","20,9","19,3","59,8"
