"Niveau 
d’instruction","Urbain","","","Rural","","","Ensemble","",""
"","Homme","Femme","Ensemble","Homme","Femme","Ensemble","Homme","Femme","Ensemble"
"Sans niveau","39,2","41,4","40,3","59,2","60,7","60,0","48,2","50,1","49,1"
"Préscolaire","3,1","3,3","3,2","3,2","3,4","3,3","3,2","3,3","3,2"
"Elémentaire","28,7","27,5","28,1","25,0","24,3","24,7","27,0","26,1","26,5"
"Moyen","13,0","13,9","13,4","7,5","8,0","7,8","10,6","11,2","10,9"
"Secondaire","8,5","8,3","8,4","3,3","2,7","3,0","6,1","5,8","6,0"
"Supérieur","7,5","5,7","6,6","1,7","0,8","1,3","4,9","3,5","4,2"
"Total","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Effectif","4 684 116","4 612 852","9 296 968","3 841 589","3 730 820","7 572 409","8 525 705","8 343 672","16 869 377"
