"","","Urbain","","","Rural","","","Ensemble",""
"Niveau","","","","","","","","",""
"d’instruction","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble"
"","","","Effectif","","","","","",""
"Sans niveau","110282","23224","133506","83956","25001","108957","194238","48225","242463"
"Préscolaire","87473","90971","178444","43218","44987","88205","130691","135958","266649"
"Elementaire","738689","641147","1379836","626449","569674","1196124","1365138","1210821","2575960"
"Moyen","222105","258151","480256","130476","144591","275067","352581","402742","755323"
"Secondaire","126710","151229","277938","48627","51376","100004","175337","202605","377942"
"Supérieur","96775","91002","187777","21993","13427","35420","118768","104429","223197"
"Ensemble","1382034","1255723","2637757","954719","849056","1803775","2336753","2104780","4441533"
"","","","","Pourcentage","","","","",""
"Sans niveau","82,6","17,4","100,0","77,1","22,9","100,0","80,1","19,9","100,0"
"Préscolaire","49,0","51,0","100,0","49,0","51,0","100,0","49,0","51,0","100,0"
"Elementaire","53,5","46,5","100,0","52,4","47,6","100,0","53,0","47,0","100,0"
"Moyen","46,2","53,8","100,0","47,4","52,6","100,0","46,7","53,3","100,0"
"Secondaire","45,6","54,4","100,0","48,6","51,4","100,0","46,4","53,6","100,0"
"Supérieur","51,5","48,5","100,0","62,1","37,9","100,0","53,2","46,8","100,0"
"Ensemble","52,4","47,6","100,0","52,9","47,1","100,0","52,6","47,4","100,0"
