"Tableau II-17 : Répartition (%) de la population âgée 6 ans et plus par sexe, milieu de résidence et groupe d’âge selon","","","",""
"le type de formation professionnelle suivie","","","",""
"","","","Formation professionnelle",""
"Rubriques","","","",""
"","Aucune","","Formation formelle","Formation informelle"
"","","Sexe","",""
"Masculin","89,4","","7,1","3,6"
"Féminin","92,7","","5,7","1,6"
"","","Milieu de résidence","",""
"urbain","87,3","","9,3","3,4"
"rural","95,7","","2,7","1,6"
"","","Groupe d’âge","",""
"6-14","96,0","","3,1","1,0"
"15-59","89,0","","7,7","3,3"
"60 ans et plus","90,7","","6,8","2,5"
"Total","91,0","","6,4","2,6"
"Effectifs","13628956","","952793","387352"
"Source: ANSD. RGPH-5, 2023","","","",""
