"Alphabétisation, Scolarisation, Niveau d'instruction,","","",""
"","Urbain","Rural","National"
"Formation professionnelle","","",""
"Alphabétisation","","",""
"Taux d’alphabétisation des 6 ans ou plus (%)","","",""
"Ensemble","62,6","55,6","59,5"
"Homme","66,3","58,7","62,9"
"Femme","59,1","52,4","56,2"
"Taux d’alphabétisation des 10 ans ou plus (%)","","",""
"Ensemble","66,2","58,6","62,9"
"Homme","70,3","62,5","66,9"
"Femme","62,0","54,9","59,0"
"Taux d’alphabétisation des 15 - 24 ans (%)","","",""
"Ensemble","75,7","66,5","71,6"
"Homme","76,6","68,1","72,7"
"Femme","74,8","64,9","70,5"
"Taux d’alphabétisation des 15 ans ou plus (%)","","",""
"Ensemble","66,5","58,5","63,1"
"Homme","71,4","63,2","68,0"
"Femme","61,7","53,9","58,5"
"Scolarisation","","",""
"Statut scolaire des enfants de 6 - 16 ans (%)","","",""
"N'a jamais fréquenté","12,9","28,7","20,9"
"A fréquenté","19,7","19,8","19,8"
"Fréquente actuellement","67,3","51,5","59,3"
"Taux brut de scolarisation au primaire des 6-11 ans (%)","","",""
"Ensemble","88,8","72,7","80,1"
"Garçons","88,9","72,4","79,9"
"Filles","88,7","73,0","80,3"
"Taux net de scolarisation au primaire des 6 - 11 ans (%)","","",""
"Ensemble","61,1","47,7","53,9"
"Garçons","60,9","47,2","53,5"
"Filles","61,2","48,3","54,4"
"Niveau d'instruction","","",""
"Préscolaire","3,2","3,3","3,2"
"Primaire","28,1","24,7","26,5"
"Moyen","13,4","7,8","10,9"
"Secondaire","8,4","3,0","6,0"
"Supérieur","6,6","1,3","4,2"
"Formation professionnelle","","",""
"Aucune","87,3","95,7","91,0"
"formelle","9,3","2,7","6,4"
"Informelle","3,4","1,6","2,6"
