"Situation par rapport à 
l'occupation","","Pourcentage","","","",""
"","","Milieu de 
résidence","Répartition (%)","","Ensemble","Total (%)"
"","","","Masculin","Féminin","",""
"Occupés","","Urbain","45,3","21,3","66,6","21,7"
"","","Rural","24,6","8,8","33,4","10,9"
"","","Total","69,9","30,1","100,0","32,5"
"Chômeurs","Chômeurs ayant 
travaillé","Urbain","37,4","13,0","50,4","1,0"
"","","Rural","40,5","9,1","49,6","0,9"
"","","Total","77,9","22,1","100,0","1,9"
"","A la recherche d'un 
premier emploi","Urbain","14,1","29,7","43,8","7,8"
"","","Rural","20,8","35,4","56,2","10,0"
"","","Total","34,9","65,1","100,0","17,8"
"Inactifs","Occupées au foyer","Urbain","","56,1","56,1","9,4"
"","","Rural","","43,9","43,9","7,4"
"","","Total","","100,0","100,0","16,8"
"","Etudiants/élèves","Urbain","32,4","34,1","66,6","10,0"
"","","Rural","17,6","15,8","33,4","5,0"
"","","Total","50,1","49,9","100,0","15,1"
"","Rentiers","Urbain","37,0","18,8","55,8","1,1"
"","","Rural","31,1","13,1","44,2","0,8"
"","","Total","68,1","31,9","100,0","1,9"
"","Personne du 3e âge 
pensionnée (FNR ou 
IPRES)","Urbain","55,6","21,4","77,0","0,9"
"","","Rural","15,2","7,8","23,0","0,3"
"","","Total","70,8","29,2","100,0","1,1"
"","Personne du 3e âge 
non pensionnée","Urbain","24,0","29,6","53,6","1,7"
"","","Rural","22,0","24,3","46,4","1,5"
"","","Total","46,1","53,9","100,0","3,2"
"","Autres inactifs","Urbain","36,3","15,8","52,1","5,0"
"","","Rural","38,6","9,3","47,9","4,6"
"","","Total","74,9","25,1","100,0","9,7"
"Ensemble","","Urbain","28,5","30,1","58,6","58,6"
"","","Rural","20,3","21,1","41,4","41,4"
"","","Total","48,8","51,2","100,0","100,0"
