"Structure population active","","","","","","","","",""
"Région","Urbain","","","Rural","","","National","",""
"","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble"
"Dakar","47,1","46,2","46,8","0,0","0,0","0,0","27,8","26,4","27,2"
"Ziguinchor","3,3","3,0","3,2","3,1","3,0","3,0","3,2","3,0","3,1"
"Diourbel","11,9","13,6","12,6","8,1","8,0","8,0","10,4","11,2","10,7"
"Saint-Louis","5,4","4,6","5,1","7,7","6,4","7,2","6,4","5,4","6,0"
"Tambacounda","2,4","2,4","2,4","9,1","10,3","9,6","5,2","5,8","5,4"
"Kaolack","4,2","4,6","4,4","9,8","10,1","9,9","6,5","7,0","6,7"
"Thiès","14,3","13,7","14,1","14,7","12,1","13,6","14,5","13,0","13,9"
"Louga","2,6","2,9","2,7","10,9","10,5","10,7","6,0","6,2","6,1"
"Fatick","1,6","1,8","1,7","7,7","8,0","7,8","4,1","4,5","4,3"
"Kolda","2,8","2,5","2,7","7,0","8,0","7,4","4,5","4,9","4,7"
"Matam","1,7","1,6","1,7","5,5","6,1","5,8","3,2","3,5","3,4"
"Kaffrine","1,0","1,1","1,0","9,2","9,9","9,5","4,3","4,8","4,5"
"Kédougou",",8",",8",",8","2,3","2,1","2,2","1,4","1,4","1,4"
"Sédhiou","1,0","1,0","1,0","4,9","5,6","5,2","2,6","3,0","2,8"
"Total (%)","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Effectif","1 949 789","1 350 160","3 299 948","1 352 595","1 011 465","2 364 060","3 302 383","2 361 625","5 664 008"
"Part (%)","34,4","23,8","58,3","23,9","17,9","41,7","58,3","41,7","100,0"
