"Groupes d’âge","Structure population active","","","","","","","",""
"","Urbain","","","Rural","","","National","",""
"","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble"
"[15-19 ans]","9,1","9,3","9,2","14,7","14,7","14,7","11,4","11,6","11,5"
"[20-24 ans]","12,9","13,5","13,1","15,4","16,6","15,9","13,9","14,8","14,3"
"[25-29 ans]","13,6","14,5","14,0","13,2","14,2","13,6","13,4","14,3","13,8"
"[30-34 ans]","14,4","14,6","14,5","12,3","12,5","12,3","13,5","13,7","13,6"
"[35-39 ans]","13,3","12,9","13,1","10,6","10,7","10,7","12,2","12,0","12,1"
"[40-44 ans]","11,1","10,1","10,7","9,0","7,9","8,5","10,2","9,2","9,8"
"[45-49 ans]","8,3","7,9","8,1","6,8","6,4","6,7","7,7","7,3","7,5"
"[50-54 ans]","6,7","6,4","6,6","5,9","6,0","6,0","6,4","6,2","6,3"
"[55-59 ans]","4,4","4,4","4,4","4,0","3,8","3,9","4,2","4,2","4,2"
"[60-64 ans]","3,2","3,1","3,2","3,6","3,2","3,4","3,3","3,2","3,3"
"[65-69 ans]","1,6","1,6","1,6","2,1","1,6","1,9","1,8","1,6","1,7"
"[70 ans et +]","1,4","1,7","1,5","2,5","2,4","2,5","1,9","2,0","1,9"
"Total (%)","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Effectif","1 949 789","1 350 160","3 299 948","1 352 595","1 011 465","2 364 060","3 302 383","2 361 625","5 664 008"
"Part (%)","34,4","23,8","58,3","23,9","17,9","41,7","58,3","41,7","100,0"
