"Groupes d’âge","Taux d'activité","","","","","","","",""
"","Urbain","","","Rural","","","National","",""
"","","Masculin  Féminin  Ensemble  Masculin  Féminin  Ensemble  Masculin  Féminin  Ensemble","","","","","","",""
"15-19","32,7","21,9","27,2","41,2","32,2","36,8","36,7","26,5","31,6"
"20-24","53,5","35,1","43,9","59,4","45,2","52,0","56,0","39,3","47,3"
"25-29","69,4","46,7","57,6","68,2","49,8","58,6","68,9","48,0","58,0"
"30-34","79,2","52,5","65,5","73,1","51,6","61,9","76,8","52,1","64,1"
"35-39","82,4","54,1","68,0","75,4","51,8","63,1","79,8","53,2","66,1"
"40-44","83,2","55,1","69,5","75,6","52,2","64,2","80,3","54,0","67,4"
"45-49","82,8","55,3","69,2","75,2","52,0","63,5","79,9","54,0","66,9"
"50-54","80,8","51,9","66,1","73,6","50,1","61,2","77,9","51,1","64,1"
"55-59","76,6","47,7","61,5","70,7","47,8","58,9","74,3","47,8","60,4"
"60-64","57,2","36,2","46,3","61,0","38,6","49,4","58,8","37,2","47,6"
"65-69","41,5","28,1","34,7","52,8","33,1","43,2","46,1","30,0","38,1"
"70 et plus","25,5","17,6","21,3","37,0","24,1","30,3","30,8","20,4","25,3"
"Total","63,1","41,4","52,0","61,3","44,2","52,6","62,4","42,5","52,2"
