"","Tableau III-13 : Répartition (%) des actifs occupés par situation dans l’occupation principale selon le milieu","","","","","","","",""
"de résidence et le sexe","","","","","","","","",""
"Situation dans l'occupation","","Urbain","","","Rural","","","National",""
"principale","Masculin","","Féminin  Ensemble  Masculin","","","Féminin  Ensemble  Masculin","","","Féminin  Ensemble"
"Travailleur indépendant","62,3","59,9","61,5","70,2","68,9","69,9","65,1","62,5","64,3"
"Employeur/Patron","6,9","5,7","6,5","3,6","2,2","3,2","5,7","4,7","5,4"
"Salarié/Employé permanent","16,5","18,9","17,2","5,3","3,6","4,9","12,5","14,4","13,1"
"Salarié/Employé temporaire","4,7","6,0","5,1","2,8","2,3","2,6","4,0","4,9","4,3"
"Apprenti","7,0","3,8","6,0","4,9","2,3","4,2","6,3","3,4","5,4"
"Aide familial","2,7","5,7","3,7","13,2","20,7","15,2","6,4","10,1","7,5"
"Total","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Source: ANSD. RGPH-5, 2023","","","","","","","","",""
